------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
                   0,      -0.291359000016
      0.336673338188,      -0.290857998012
      0.673346676377,      -0.290356996008
       1.01002001456,      -0.289855994004
       1.34669335275,         -0.289354992
       1.68336669094,      -0.288853989996
       2.02004002913,      -0.288352987992
       2.35671336732,      -0.287851985988
       2.69338670551,      -0.287350983984
       3.03006004369,       -0.28684998198
       3.36673338188,      -0.286348979976
       3.70340672007,      -0.285847977972
       4.04008005826,      -0.285346975968
       4.37675339645,      -0.284845973964
       4.71342673464,       -0.28434497196
       5.05010007282,      -0.283843969956
       5.38677341101,      -0.283342967952
        5.7234467492,      -0.282841965948
       6.06012008739,      -0.282340963944
       6.39679342558,       -0.28183996194
       6.73346676377,      -0.281338959936
       7.07014010195,      -0.280837957932
       7.40681344014,      -0.280336955928
       7.74348677833,      -0.279835953924
       8.08016011652,       -0.27933495192
       8.41683345471,      -0.278833949916
        8.7535067929,      -0.278332947912
       9.09018013108,      -0.277831945908
       9.42685346927,      -0.277330943904
       9.76352680746,        -0.2768299419
       10.1002001456,      -0.276328939896
       10.4368734838,      -0.275827937892
        10.773546822,      -0.275326935888
       11.1102201602,      -0.274825933884
       11.4468934984,       -0.27432493188
       11.7835668366,      -0.273823929876
       12.1202401748,      -0.273322927872
        12.456913513,      -0.272821925868
       12.7935868512,      -0.272320923864
       13.1302601893,       -0.27181992186
       13.4669335275,      -0.271318919856
       13.8036068657,      -0.270817917852
       14.1402802039,      -0.270316915848
       14.4769535421,      -0.269815913844
       14.8136268803,       -0.26931491184
       15.1503002185,      -0.268813909836
       15.4869735567,      -0.268312907832
       15.8236468949,      -0.267811905828
        16.160320233,      -0.267310903824
       16.4969935712,       -0.26680990182
       16.8336669094,      -0.266308899816
       17.1703402476,      -0.265807897812
       17.5070135858,      -0.265306895808
        17.843686924,      -0.264805893804
       18.1803602622,        -0.2643048918
       18.5170336004,      -0.263803889796
       18.8537069385,      -0.263302887792
       19.1903802767,      -0.262801885788
       19.5270536149,      -0.262300883784
       19.8637269531,       -0.26179988178
       20.2004002913,      -0.261298879776
       20.5370736295,      -0.260797877772
       20.8737469677,      -0.260296875768
       21.2104203059,      -0.259795873764
       21.5470936441,       -0.25929487176
       21.8837669822,      -0.258793869756
       22.2204403204,      -0.258292867752
       22.5571136586,      -0.257791865748
       22.8937869968,      -0.257290863744
        23.230460335,       -0.25678986174
       23.5671336732,      -0.256288859736
       23.9038070114,      -0.255787857732
       24.2404803496,      -0.255286855728
       24.5771536877,      -0.254785853724
       24.9138270259,       -0.25428485172
       25.2505003641,      -0.253783849716
       25.5871737023,      -0.253282847712
       25.9238470405,      -0.252781845708
       26.2605203787,      -0.252280843704
       26.5971937169,        -0.2517798417
       26.9338670551,      -0.251278839696
       27.2705403933,      -0.250777837692
       27.6072137314,      -0.250276835688
       27.9438870696,      -0.249775833684
       28.2805604078,       -0.24927483168
        28.617233746,      -0.248773829676
       28.9539070842,      -0.248272827672
       29.2905804224,      -0.247771825668
       29.6272537606,      -0.247270823664
       29.9639270988,       -0.24676982166
       30.3006004369,      -0.246268819656
       30.6372737751,      -0.245767817652
       30.9739471133,      -0.245266815648
       31.3106204515,      -0.244765813644
       31.6472937897,       -0.24426481164
       31.9839671279,      -0.243763809636
       32.3206404661,      -0.243262807632
       32.6573138043,      -0.242761805628
       32.9939871425,      -0.242260803624
       33.3306604806,       -0.24175980162
       33.6673338188,      -0.241258799616
        34.004007157,      -0.240757797611
       34.3406804952,      -0.240256795607
       34.6773538334,      -0.239755793603
       35.0140271716,      -0.239254791599
       35.3507005098,      -0.238753789595
        35.687373848,      -0.238252787591
       36.0240471861,      -0.237751785587
       36.3607205243,      -0.237250783583
       36.6973938625,      -0.236749781579
       37.0340672007,      -0.236248779575
       37.3707405389,      -0.235747777571
       37.7074138771,      -0.235246775567
       38.0440872153,      -0.234745773563
       38.3807605535,      -0.234244771559
       38.7174338917,      -0.233743769555
       39.0541072298,      -0.233242767551
        39.390780568,      -0.232741765547
       39.7274539062,      -0.232240763543
       40.0641272444,      -0.231739761539
       40.4008005826,      -0.231238759535
       40.7374739208,      -0.230737757531
        41.074147259,      -0.230236755527
       41.4108205972,      -0.229735753523
       41.7474939353,      -0.229234751519
       42.0841672735,      -0.228733749515
       42.4208406117,      -0.228232747511
       42.7575139499,      -0.227731745507
       43.0941872881,      -0.227230743503
       43.4308606263,      -0.226729741499
       43.7675339645,      -0.226228739495
       44.1042073027,      -0.225727737491
