------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,       -14.8809527569
      0.336673338188,       -14.8809527569
      0.673346676377,       -14.8809527569
       1.01002001456,       -14.8809527569
       1.34669335275,       -14.8809527569
       1.68336669094,       -14.8809527569
       2.02004002913,       -14.8809527569
       2.35671336732,       -14.8809527569
       2.69338670551,       -14.8809527569
       3.03006004369,       -14.8809527569
       3.36673338188,       -14.8809527569
       3.70340672007,       -14.8809527569
       4.04008005826,       -14.8809527569
       4.37675339645,       -14.8809527569
       4.71342673464,       -14.8809527569
       5.05010007282,       -14.8809527569
       5.38677341101,       -14.8809527569
        5.7234467492,       -14.8809527569
       6.06012008739,       -14.8809527569
       6.39679342558,       -14.8809527569
       6.73346676377,       -14.8809527569
       7.07014010195,       -14.8809527569
       7.40681344014,       -14.8809527569
       7.74348677833,       -14.8809527569
       8.08016011652,       -14.8809527569
       8.41683345471,       -14.8809527569
        8.7535067929,       -14.8809527569
       9.09018013108,       -14.8809527569
       9.42685346927,       -14.8809527569
       9.76352680746,       -14.8809527569
       10.1002001456,       -14.8809527569
       10.4368734838,       -14.8809527569
        10.773546822,       -14.8809527569
       11.1102201602,       -14.8809527569
       11.4468934984,       -14.8809527569
       11.7835668366,       -14.8809527569
       12.1202401748,       -14.8809527569
        12.456913513,       -14.8809527569
       12.7935868512,       -14.8809527569
       13.1302601893,       -14.8809527569
       13.4669335275,       -14.8809527569
       13.8036068657,       -14.8809527569
       14.1402802039,       -14.8809527569
       14.4769535421,       -14.8809527569
       14.8136268803,       -14.8809527569
       15.1503002185,       -14.8809527569
       15.4869735567,       -14.8809527569
       15.8236468949,       -14.8809527569
        16.160320233,       -14.8809527569
       16.4969935712,       -14.8809527569
       16.8336669094,       -14.8809527569
       17.1703402476,       -14.8809527569
       17.5070135858,       -14.8809527569
        17.843686924,       -14.8809527569
       18.1803602622,       -14.8809527569
       18.5170336004,       -14.8809527569
       18.8537069385,       -14.8809527569
       19.1903802767,       -14.8809527569
       19.5270536149,       -14.8809527569
       19.8637269531,       -14.8809527569
       20.2004002913,       -14.8809527569
       20.5370736295,       -14.8809527569
       20.8737469677,       -14.8809527569
       21.2104203059,       -14.8809527569
       21.5470936441,       -14.8809527569
       21.8837669822,       -14.8809527569
       22.2204403204,       -14.8809527569
       22.5571136586,       -14.8809527569
       22.8937869968,       -14.8809527569
        23.230460335,       -14.8809527569
       23.5671336732,       -14.8809527569
       23.9038070114,       -14.8809527569
       24.2404803496,       -14.8809527569
       24.5771536877,       -14.8809527569
       24.9138270259,       -14.8809527569
       25.2505003641,       -14.8809527569
       25.5871737023,       -14.8809527569
       25.9238470405,       -14.8809527569
       26.2605203787,       -14.8809527569
       26.5971937169,       -14.8809527569
       26.9338670551,       -14.8809527569
       27.2705403933,       -14.8809527569
       27.6072137314,       -14.8809527569
       27.9438870696,       -14.8809527569
       28.2805604078,       -14.8809527569
        28.617233746,       -14.8809527569
       28.9539070842,       -14.8809527569
       29.2905804224,       -14.8809527569
       29.6272537606,       -14.8809527569
