------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,       -1.41135900002
      0.336673338188,       -1.41085799801
      0.673346676377,       -1.41035699601
       1.01002001456,         -1.409855994
       1.34669335275,         -1.409354992
       1.68336669094,          -1.40885399
       2.02004002913,       -1.40835298799
       2.35671336732,       -1.40785198599
       2.69338670551,       -1.40735098398
       3.03006004369,       -1.40684998198
       3.36673338188,       -1.40634897998
       3.70340672007,       -1.40584797797
       4.04008005826,       -1.40534697597
       4.37675339645,       -1.40484597396
       4.71342673464,       -1.40434497196
       5.05010007282,       -1.40384396996
       5.38677341101,       -1.40334296795
        5.7234467492,       -1.40284196595
       6.06012008739,       -1.40234096394
       6.39679342558,       -1.40183996194
       6.73346676377,       -1.40133895994
       7.07014010195,       -1.40083795793
       7.40681344014,       -1.40033695593
       7.74348677833,       -1.39983595392
       8.08016011652,       -1.39933495192
       8.41683345471,       -1.39883394992
        8.7535067929,       -1.39833294791
       9.09018013108,       -1.39783194591
       9.42685346927,        -1.3973309439
       9.76352680746,        -1.3968299419
       10.1002001456,        -1.3963289399
       10.4368734838,       -1.39582793789
        10.773546822,       -1.39532693589
       11.1102201602,       -1.39482593388
       11.4468934984,       -1.39432493188
       11.7835668366,       -1.39382392988
       12.1202401748,       -1.39332292787
        12.456913513,       -1.39282192587
       12.7935868512,       -1.39232092386
       13.1302601893,       -1.39181992186
       13.4669335275,       -1.39131891986
       13.8036068657,       -1.39081791785
       14.1402802039,       -1.39031691585
       14.4769535421,       -1.38981591384
       14.8136268803,       -1.38931491184
       15.1503002185,       -1.38881390984
       15.4869735567,       -1.38831290783
       15.8236468949,       -1.38781190583
        16.160320233,       -1.38731090382
       16.4969935712,       -1.38680990182
       16.8336669094,       -1.38630889982
       17.1703402476,       -1.38580789781
       17.5070135858,       -1.38530689581
        17.843686924,        -1.3848058938
       18.1803602622,        -1.3843048918
       18.5170336004,        -1.3838038898
       18.8537069385,       -1.38330288779
       19.1903802767,       -1.38280188579
       19.5270536149,       -1.38230088378
       19.8637269531,       -1.38179988178
       20.2004002913,       -1.38129887978
       20.5370736295,       -1.38079787777
       20.8737469677,       -1.38029687577
       21.2104203059,       -1.37979587376
       21.5470936441,       -1.37929487176
       21.8837669822,       -1.37879386976
       22.2204403204,       -1.37829286775
       22.5571136586,       -1.37779186575
       22.8937869968,       -1.37729086374
        23.230460335,       -1.37678986174
       23.5671336732,       -1.37628885974
       23.9038070114,       -1.37578785773
       24.2404803496,       -1.37528685573
       24.5771536877,       -1.37478585372
       24.9138270259,       -1.37428485172
       25.2505003641,       -1.37378384972
       25.5871737023,       -1.37328284771
       25.9238470405,       -1.37278184571
       26.2605203787,        -1.3722808437
       26.5971937169,        -1.3717798417
       26.9338670551,        -1.3712788397
       27.2705403933,       -1.37077783769
       27.6072137314,       -1.37027683569
       27.9438870696,       -1.36977583368
       28.2805604078,       -1.36927483168
        28.617233746,       -1.36877382968
       28.9539070842,       -1.36827282767
       29.2905804224,       -1.36777182567
       29.6272537606,       -1.36727082366
       29.9639270988,       -1.36676982166
       30.3006004369,       -1.36626881966
       30.6372737751,       -1.36576781765
       30.9739471133,       -1.36526681565
       31.3106204515,       -1.36476581364
