------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,    1.10914372878e+16
      0.336673338188,    1.10914372878e+16
      0.673346676377,    1.10914372878e+16
       1.01002001456,    1.10914372878e+16
       1.34669335275,    1.10914372878e+16
       1.68336669094,    1.10914372878e+16
       2.02004002913,    1.10914372878e+16
       2.35671336732,    1.10914372878e+16
       2.69338670551,    1.10914372878e+16
       3.03006004369,    1.10914372878e+16
       3.36673338188,    1.10914372878e+16
       3.70340672007,    1.10914372878e+16
       4.04008005826,    1.10914372878e+16
       4.37675339645,    1.10914372878e+16
       4.71342673464,    1.10914372878e+16
       5.05010007282,    1.10914372878e+16
       5.38677341101,    1.10914372878e+16
        5.7234467492,    1.10914372878e+16
       6.06012008739,    1.10914372878e+16
       6.39679342558,    1.10914372878e+16
       6.73346676377,    1.10914372878e+16
       7.07014010195,    1.10914372878e+16
       7.40681344014,    1.10914372878e+16
       7.74348677833,    1.10914372878e+16
       8.08016011652,    1.10914372878e+16
       8.41683345471,    1.10914372878e+16
        8.7535067929,    1.10914372878e+16
       9.09018013108,    1.10914372878e+16
       9.42685346927,    1.10914372878e+16
       9.76352680746,    1.10914372878e+16
       10.1002001456,    1.10914372878e+16
       10.4368734838,    1.10914372878e+16
        10.773546822,    1.10914372878e+16
       11.1102201602,    1.10914372878e+16
       11.4468934984,    1.10914372878e+16
       11.7835668366,    1.10914372878e+16
       12.1202401748,    1.10914372878e+16
        12.456913513,    1.10914372878e+16
       12.7935868512,    1.10914372878e+16
       13.1302601893,    1.10914372878e+16
       13.4669335275,    1.10914372878e+16
       13.8036068657,    1.10914372878e+16
       14.1402802039,    1.10914372878e+16
       14.4769535421,    1.10914372878e+16
       14.8136268803,    1.10914372878e+16
       15.1503002185,    1.10914372878e+16
       15.4869735567,    1.10914372878e+16
       15.8236468949,    1.10914372878e+16
        16.160320233,    1.10914372878e+16
       16.4969935712,    1.10914372878e+16
       16.8336669094,    1.10914372878e+16
       17.1703402476,    1.10914372878e+16
       17.5070135858,    1.10914372878e+16
