------------------------------------------------------------
 solve prev gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,                1e+16
      0.336673338188,    1.00091793646e+16
      0.673346676377,    1.00183587293e+16
       1.01002001456,    1.00273548453e+16
       1.34669335275,    1.00363509614e+16
       1.68336669094,    1.00451675175e+16
       2.02004002913,    1.00539840737e+16
       2.35671336732,    1.00626251385e+16
       2.69338670551,    1.00712662033e+16
       3.03006004369,    1.00797357322e+16
       3.36673338188,    1.00882052612e+16
       3.70340672007,    1.00965070993e+16
       4.04008005826,    1.01048089373e+16
       4.37675339645,    1.01129468231e+16
       4.71342673464,    1.01210847089e+16
       5.05010007282,    1.01290622783e+16
       5.38677341101,    1.01370398478e+16
        5.7234467492,    1.01448606381e+16
       6.06012008739,    1.01526814285e+16
       6.39679342558,    1.01603488817e+16
       6.73346676377,     1.0168016335e+16
       7.07014010195,    1.01755338012e+16
       7.40681344014,    1.01830512675e+16
       7.74348677833,    1.01904220081e+16
       8.08016011652,    1.01977927488e+16
       8.41683345471,    1.02050199397e+16
        8.7535067929,    1.02122471307e+16
       9.09018013108,     1.0219333865e+16
       9.42685346927,    1.02264205994e+16
       9.76352680746,    1.02333698906e+16
       10.1002001456,    1.02403191817e+16
       10.4368734838,    1.02471339657e+16
        10.773546822,    1.02539487496e+16
       11.1102201602,    1.02606318879e+16
       11.4468934984,    1.02673150261e+16
       11.7835668366,    1.02738693078e+16
       12.1202401748,    1.02804235896e+16
        12.456913513,    1.02868517342e+16
       12.7935868512,    1.02932798787e+16
       13.1302601893,    1.02995845378e+16
       13.4669335275,    1.03058891969e+16
       13.8036068657,    1.03120729568e+16
       14.1402802039,    1.03182567166e+16
       14.4769535421,    1.03243220998e+16
       14.8136268803,    1.03303874831e+16
       15.1503002185,     1.0336336951e+16
       15.4869735567,     1.0342286419e+16
       15.8236468949,    1.03481223732e+16
        16.160320233,    1.03539583275e+16
       16.4969935712,    1.03596831119e+16
       16.8336669094,    1.03654078964e+16
