------------------------------------------------------------
 solve prev gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,        9925.37789492
      0.336673338188,        9179856138690
      0.673346676377,       18359712267500
       1.01002001456,       27355816767200
       1.34669335275,       36351921266900
       1.68336669094,       45168464454100
       2.02004002913,       53985007641200
       2.35671336732,       62626059918100
       2.69338670551,       71267112195000
       3.03006004369,       79736629066400
       3.36673338188,       88206145937900
       3.70340672007,       96507972355700
       4.04008005826,      104809798773000
       4.37675339645,      112947673256000
       4.71342673464,      121085547739000
       5.05010007282,      129063106290000
       5.38677341101,      137040664840000
        5.7234467492,      144861444666000
       6.06012008739,      152682224492000
       6.39679342558,      160349667552000
       6.73346676377,      168017110613000
       7.07014010195,      175534566991000
       7.40681344014,      183052023370000
       7.74348677833,      190422754491000
       8.08016011652,      197793485613000
       8.41683345471,      205020667307000
        8.7535067929,      212247849001000
       9.09018013108,      219334574432000
       9.42685346927,      226421299863000
       9.76352680746,      233370582319000
       10.1002001456,      240319864775000
       10.4368734838,      247134640338000
        10.773546822,      253949415902000
       11.1102201602,      260632546000000
       11.4468934984,      267315676098000
       11.7835668366,      273869949941000
       12.1202401748,      280424223784000
        12.456913513,      286852360700000
       12.7935868512,      293280497616000
       13.1302601893,      299585149288000
       13.4669335275,      305889800959000
       13.8036068657,      312073553561000
       14.1402802039,      318257306163000
       14.4769535421,      324322682417000
       14.8136268803,      330388058671000
       15.1503002185,      336337519813000
       15.4869735567,      342286980955000
       15.8236468949,      348122928623000
        16.160320233,      353958876292000
       16.4969935712,      359683654339000
       16.8336669094,      365408432385000
       17.1703402476,      371024328618000
       17.5070135858,      376640224851000
        17.843686924,      382149472705000
       18.1803602622,      387658720558000
       18.5170336004,      393063500701000
       18.8537069385,      398468280845000
       19.1903802767,      403770722727000
       19.5270536149,      409073164610000
       19.8637269531,      414275347949000
       20.2004002913,      419477531288000
       20.5370736295,      424581487498000
       20.8737469677,      429685443709000
       21.2104203059,      434693157283000
       21.5470936441,      439700870858000
       21.8837669822,      444614280693000
       22.2204403204,      449527690528000
       22.5571136586,      454348691203000
       22.8937869968,      459169691879000
        23.230460335,      463900134892000
       23.5671336732,      468630577904000
       23.9038070114,      473272272856000
       24.2404803496,      477913967807000
       24.5771536877,      482468683554000
       24.9138270259,      487023399300000
       25.2505003641,      491492865056000
       25.5871737023,      495962330811000
       25.9238470405,      500348237221000
       26.2605203787,      504734143631000
       26.5971937169,      509038143801000
       26.9338670551,      513342143970000
       27.2705403933,      517565854463000
       27.6072137314,      521789564956000
       27.9438870696,      525934566759000
       28.2805604078,      530079568561000
        28.617233746,      534147408012000
       28.9539070842,      538215247464000
       29.2905804224,      542207437158000
       29.6272537606,      546199626853000
       29.9639270988,      550117646510000
       30.3006004369,      554035666167000
       30.6372737751,      557880963476000
       30.9739471133,      561726260785000
       31.3106204515,      565500252219000
       31.6472937897,      569274243654000
       31.9839671279,      572978315262000
       32.3206404661,      576682386871000
       32.6573138043,      580317895042000
       32.9939871425,      583953403213000
       33.3306604806,      587521675418000
       33.6673338188,      591089947622000
        34.004007157,      594592283129000
       34.3406804952,      598094618636000
       34.6773538334,      601532289211000
       35.0140271716,      604969959785000
       35.3507005098,      608344210362000
        35.687373848,      611718460940000
       36.0240471861,      615030510280000
       36.3607205243,      618342559619000
       36.6973938625,      621593600941000
       37.0340672007,      624844642262000
       37.3707405389,      628035843859000
       37.7074138771,      631227045457000
       38.0440872153,      634359551296000
       38.3807605535,      637492057136000
       38.7174338917,      640566987438000
       39.0541072298,      643641917739000
        39.390780568,      646660369538000
       39.7274539062,      649678821336000
       40.0641272444,      652641869030000
       40.4008005826,      655604916723000
       40.7374739208,      658513612603000
        41.074147259,      661422308483000
       41.4108205972,      664277683251000
       41.7474939353,      667133058019000
       42.0841672735,      669936121288000
       42.4208406117,      672739184556000
       42.7575139499,      675490925337000
       43.0941872881,      678242666117000
       43.4308606263,      680944053294000
       43.7675339645,      683645440470000
       44.1042073027,      686297423259000
       44.4408806409,      688949406048000
        44.777553979,      691552914447000
       45.1142273172,      694156422847000
       45.4509006554,      696712368072000
       45.7875739936,      699268313296000
       46.1242473318,      701777588202000
         46.46092067,      704286863107000
       46.7975940082,      706750342601000
       47.1342673464,      709213822096000
       47.4709406846,      711632363543000
       47.8076140227,      714050904989000
       48.1442873609,      716425348597000
       48.4809606991,      718799792205000
       48.8176340373,      721130961408000
       49.1543073755,      723462130611000
       49.4909807137,      725750832440000
       49.8276540519,      728039534270000
       50.1643273901,      730286559712000
       50.5010007282,      732533585155000
