------------------------------------------------------------
 solve prev v1=-0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,                1e+16
      0.336673338188,    1.00212855918e+16
      0.673346676377,    1.00425711837e+16
       1.01002001456,    1.00627758548e+16
       1.34669335275,    1.00829805259e+16
       1.68336669094,    1.01021658543e+16
       2.02004002913,    1.01213511827e+16
       2.35671336732,    1.01395805183e+16
       2.69338670551,    1.01578098538e+16
       3.03006004369,    1.01751413647e+16
       3.36673338188,    1.01924728756e+16
       3.70340672007,    1.02089600839e+16
       4.04008005826,    1.02254472922e+16
       4.37675339645,    1.02411395616e+16
       4.71342673464,    1.02568318309e+16
       5.05010007282,    1.02717747896e+16
       5.38677341101,    1.02867177483e+16
        5.7234467492,    1.03009536589e+16
       6.06012008739,    1.03151895694e+16
       6.39679342558,    1.03287576521e+16
       6.73346676377,    1.03423257347e+16
       7.07014010195,    1.03552624518e+16
       7.40681344014,    1.03681991689e+16
       7.74348677833,    1.03805384761e+16
       8.08016011652,    1.03928777834e+16
       8.41683345471,    1.04046513521e+16
        8.7535067929,    1.04164249208e+16
       9.09018013108,    1.04276623357e+16
       9.42685346927,    1.04388997505e+16
       9.76352680746,    1.04496286856e+16
       10.1002001456,    1.04603576208e+16
       10.4368734838,    1.04706039973e+16
        10.773546822,    1.04808503738e+16
       11.1102201602,    1.04906385009e+16
       11.4468934984,    1.05004266281e+16
       11.7835668366,    1.05097793304e+16
       12.1202401748,    1.05191320326e+16
        12.456913513,     1.0528070764e+16
       12.7935868512,    1.05370094953e+16
       13.1302601893,    1.05455544428e+16
       13.4669335275,    1.05540993902e+16
       13.8036068657,    1.05622695673e+16
       14.1402802039,    1.05704397443e+16
       14.4769535421,    1.05782530761e+16
       14.8136268803,     1.0586066408e+16
       15.1503002185,    1.05935398086e+16
       15.4869735567,    1.06010132092e+16
       15.8236468949,     1.0608162652e+16
        16.160320233,    1.06153120948e+16
       16.4969935712,    1.06221526768e+16
       16.8336669094,    1.06289932589e+16
       17.1703402476,    1.06355392598e+16
       17.5070135858,    1.06420852608e+16
        17.843686924,    1.06483501968e+16
       18.1803602622,    1.06546151329e+16
       18.5170336004,    1.06606118064e+16
       18.8537069385,    1.06666084799e+16
       19.1903802767,    1.06723490248e+16
       19.5270536149,    1.06780895697e+16
       19.8637269531,    1.06835854936e+16
       20.2004002913,    1.06890814176e+16
       20.5370736295,    1.06943436407e+16
       20.8737469677,    1.06996058638e+16
       21.2104203059,    1.07046447544e+16
       21.5470936441,    1.07096836449e+16
       21.8837669822,    1.07145090525e+16
       22.2204403204,    1.07193344601e+16
       22.5571136586,    1.07239557464e+16
       22.8937869968,    1.07285770326e+16
        23.230460335,    1.07330030996e+16
       23.5671336732,    1.07374291666e+16
       23.9038070114,    1.07416684835e+16
       24.2404803496,    1.07459078003e+16
       24.5771536877,    1.07499684275e+16
       24.9138270259,    1.07540290548e+16
       25.2505003641,    1.07579186675e+16
       25.5871737023,    1.07618082802e+16
       25.9238470405,    1.07655341892e+16
       26.2605203787,    1.07692600982e+16
       26.5971937169,    1.07728292701e+16
       26.9338670551,     1.0776398442e+16
       27.2705403933,    1.07798175177e+16
       27.6072137314,    1.07832365935e+16
       27.9438870696,    1.07865119059e+16
       28.2805604078,    1.07897872182e+16
        28.617233746,     1.0792924808e+16
       28.9539070842,    1.07960623978e+16
       29.2905804224,    1.07990680292e+16
       29.6272537606,    1.08020736607e+16
       29.9639270988,    1.08049528356e+16
       30.3006004369,    1.08078320105e+16
       30.6372737751,     1.0810589982e+16
       30.9739471133,    1.08133479534e+16
       31.3106204515,    1.08159897383e+16
       31.6472937897,    1.08186315231e+16
       31.9839671279,    1.08211619137e+16
       32.3206404661,    1.08236923044e+16
       32.6573138043,    1.08261158802e+16
       32.9939871425,     1.0828539456e+16
       33.3306604806,    1.08308605936e+16
       33.6673338188,    1.08331817313e+16
        34.004007157,    1.08354046149e+16
       34.3406804952,    1.08376274984e+16
       34.6773538334,    1.08397561285e+16
       35.0140271716,    1.08418847586e+16
       35.3507005098,    1.08439229614e+16
        35.687373848,    1.08459611642e+16
       36.0240471861,    1.08479125998e+16
       36.3607205243,    1.08498640354e+16
       36.6973938625,    1.08517322055e+16
       37.0340672007,    1.08536003756e+16
       37.3707405389,    1.08553886311e+16
       37.7074138771,    1.08571768866e+16
       38.0440872153,    1.08588884347e+16
       38.3807605535,    1.08605999829e+16
       38.7174338917,    1.08622378937e+16
       39.0541072298,    1.08638758046e+16
        39.390780568,    1.08654430175e+16
       39.7274539062,    1.08670102304e+16
       40.0641272444,      1.086850956e+16
       40.4008005826,    1.08700088896e+16
       40.7374739208,    1.08714430313e+16
        41.074147259,    1.08728771731e+16
       41.4108205972,    1.08742487088e+16
       41.7474939353,    1.08756202446e+16
       42.0841672735,    1.08769316476e+16
       42.4208406117,    1.08782430507e+16
       42.7575139499,    1.08794966906e+16
       43.0941872881,    1.08807503305e+16
       43.4308606263,    1.08819484778e+16
       43.7675339645,    1.08831466252e+16
       44.1042073027,    1.08842914557e+16
       44.4408806409,    1.08854362863e+16
        44.777553979,    1.08865298854e+16
       45.1142273172,    1.08876234845e+16
       45.4509006554,    1.08886678509e+16
       45.7875739936,    1.08897122174e+16
       46.1242473318,    1.08907092672e+16
         46.46092067,     1.0891706317e+16
       46.7975940082,    1.08926578871e+16
       47.1342673464,    1.08936094572e+16
       47.4709406846,    1.08945173086e+16
       47.8076140227,    1.08954251601e+16
       48.1442873609,    1.08962909815e+16
       48.4809606991,     1.0897156803e+16
       48.8176340373,    1.08979822139e+16
       49.1543073755,    1.08988076247e+16
       49.4909807137,    1.08995941778e+16
       49.8276540519,    1.09003807309e+16
       50.1643273901,    1.09011299156e+16
       50.5010007282,    1.09018791004e+16
       50.8376740664,    1.09025923452e+16
       51.1743474046,    1.09033055901e+16
       51.5110207428,    1.09039842652e+16
        51.847694081,    1.09046629403e+16
       52.1843674192,    1.09053083601e+16
       52.5210407574,    1.09059537799e+16
       52.8577140956,    1.09065672052e+16
       53.1943874338,    1.09071806305e+16
       53.5310607719,    1.09077632709e+16
       53.8677341101,    1.09083459113e+16
       54.2044074483,    1.09088989273e+16
       54.5410807865,    1.09094519433e+16
       54.8777541247,    1.09099764483e+16
       55.2144274629,    1.09105009534e+16
       55.5511008011,    1.09109980158e+16
       55.8877741393,    1.09114950781e+16
       56.2244474774,    1.09119657229e+16
       56.5611208156,    1.09124363676e+16
       56.8977941538,    1.09128815784e+16
        57.234467492,    1.09133267891e+16
       57.5711408302,    1.09137475096e+16
       57.9078141684,    1.09141682301e+16
       58.2444875066,    1.09145653661e+16
       58.5811608448,    1.09149625022e+16
        58.917834183,    1.09153369228e+16
       59.2545075211,    1.09157113434e+16
       59.5911808593,    1.09160638827e+16
       59.9278541975,     1.0916416422e+16
       60.2645275357,    1.09167478804e+16
       60.6012008739,    1.09170793388e+16
       60.9378742121,    1.09173904844e+16
       61.2745475503,    1.09177016301e+16
       61.6112208885,    1.09179932001e+16
       61.9478942266,    1.09182847701e+16
       62.2845675648,     1.0918557472e+16
        62.621240903,    1.09188301738e+16
       62.9579142412,    1.09190846865e+16
       63.2945875794,    1.09193391992e+16
       63.6312609176,    1.09195761742e+16
       63.9679342558,    1.09198131493e+16
        64.304607594,    1.09200332121e+16
       64.6412809322,    1.09202532748e+16
       64.9779542703,    1.09204570254e+16
       65.3146276085,    1.09206607761e+16
       65.6513009467,    1.09208487904e+16
       65.9879742849,    1.09210368048e+16
       66.3246476231,    1.09212096357e+16
       66.6613209613,    1.09213824665e+16
       66.9979942995,    1.09215406443e+16
       67.3346676377,     1.0921698822e+16
       67.6713409758,    1.09218428556e+16
        68.008014314,    1.09219868893e+16
       68.3446876522,    1.09221172672e+16
       68.6813609904,    1.09222476452e+16
       69.0180343286,    1.09223648362e+16
       69.3547076668,    1.09224820273e+16
        69.691381005,    1.09225864811e+16
       70.0280543432,    1.09226909349e+16
       70.3647276814,    1.09227830832e+16
       70.7014010195,    1.09228752314e+16
       71.0380743577,    1.09229554881e+16
       71.3747476959,    1.09230357448e+16
       71.7114210341,    1.09231045073e+16
       72.0480943723,    1.09231732698e+16
       72.3847677105,    1.09232309192e+16
       72.7214410487,    1.09232885686e+16
       73.0581143869,    1.09233354707e+16
        73.394787725,    1.09233823728e+16
       73.7314610632,    1.09234188783e+16
       74.0681344014,    1.09234553839e+16
       74.4048077396,    1.09234818294e+16
       74.7414810778,    1.09235082749e+16
        75.078154416,    1.09235249832e+16
       75.4148277542,    1.09235416914e+16
       75.7515010924,    1.09235489721e+16
       76.0881744306,    1.09235562527e+16
       76.4248477687,    1.09235544027e+16
       76.7615211069,    1.09235525526e+16
       77.0981944451,    1.09235418566e+16
