------------------------------------------------------------
 solve prev v1=-1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
                   0,                1e+16
      0.336673338188,    1.00329731488e+16
      0.673346676377,    1.00659462977e+16
       1.01002001456,    1.00960808954e+16
       1.34669335275,    1.01262154932e+16
       1.68336669094,    1.01537909859e+16
       2.02004002913,    1.01813664786e+16
       2.35671336732,    1.02066436275e+16
       2.69338670551,    1.02319207764e+16
       3.03006004369,     1.0255126379e+16
       3.36673338188,    1.02783319816e+16
       3.70340672007,    1.02996644695e+16
       4.04008005826,    1.03209969574e+16
       4.37675339645,    1.03406309171e+16
       4.71342673464,    1.03602648769e+16
       5.05010007282,    1.03783546871e+16
       5.38677341101,    1.03964444973e+16
        5.7234467492,    1.04131272849e+16
       6.06012008739,    1.04298100725e+16
       6.39679342558,    1.04452081373e+16
       6.73346676377,    1.04606062021e+16
       7.07014010195,     1.0474829023e+16
       7.40681344014,    1.04890518439e+16
       7.74348677833,    1.05021977516e+16
       8.08016011652,    1.05153436593e+16
       8.41683345471,    1.05275012405e+16
        8.7535067929,    1.05396588217e+16
       9.09018013108,    1.05509081071e+16
       9.42685346927,    1.05621573926e+16
       9.76352680746,    1.05725708666e+16
       10.1002001456,    1.05829843406e+16
       10.4368734838,    1.05926278058e+16
        10.773546822,    1.06022712709e+16
       11.1102201602,    1.06112045909e+16
       11.4468934984,    1.06201379109e+16
       11.7835668366,    1.06284156533e+16
       12.1202401748,    1.06366933957e+16
        12.456913513,    1.06443653899e+16
       12.7935868512,    1.06520373842e+16
       13.1302601893,    1.06591492081e+16
       13.4669335275,     1.0666261032e+16
       13.8036068657,    1.06728544384e+16
       14.1402802039,    1.06794478448e+16
       14.4769535421,    1.06855611358e+16
       14.8136268803,    1.06916744268e+16
       15.1503002185,    1.06973427852e+16
       15.4869735567,    1.07030111435e+16
       15.8236468949,    1.07082669248e+16
        16.160320233,    1.07135227061e+16
       16.4969935712,    1.07183956993e+16
       16.8336669094,    1.07232686925e+16
       17.1703402476,    1.07277863514e+16
       17.5070135858,    1.07323040104e+16
        17.843686924,    1.07364916609e+16
       18.1803602622,    1.07406793114e+16
       18.5170336004,    1.07445603367e+16
       18.8537069385,     1.0748441362e+16
       19.1903802767,    1.07520373693e+16
       19.5270536149,    1.07556333766e+16
       19.8637269531,     1.0758964347e+16
       20.2004002913,    1.07622953174e+16
       20.5370736295,    1.07653797413e+16
       20.8737469677,    1.07684641651e+16
       21.2104203059,    1.07713191643e+16
       21.5470936441,    1.07741741635e+16
       21.8837669822,    1.07768156023e+16
       22.2204403204,    1.07794570411e+16
       22.5571136586,    1.07818996267e+16
       22.8937869968,    1.07843422122e+16
        23.230460335,     1.0786599586e+16
       23.5671336732,    1.07888569598e+16
       23.9038070114,    1.07909417811e+16
       24.2404803496,    1.07930266025e+16
       24.5771536877,    1.07949506242e+16
       24.9138270259,    1.07968746459e+16
       25.2505003641,     1.0798648784e+16
       25.5871737023,    1.08004229221e+16
       25.9238470405,    1.08020573191e+16
       26.2605203787,    1.08036917161e+16
       26.5971937169,    1.08051957993e+16
       26.9338670551,    1.08066998824e+16
       27.2705403933,    1.08080824172e+16
       27.6072137314,    1.08094649519e+16
       27.9438870696,    1.08107340906e+16
       28.2805604078,    1.08120032293e+16
        28.617233746,    1.08131665565e+16
       28.9539070842,    1.08143298838e+16
       29.2905804224,    1.08153944575e+16
       29.6272537606,    1.08164590313e+16
       29.9639270988,    1.08174314214e+16
       30.3006004369,    1.08184038115e+16
       30.6372737751,    1.08192901346e+16
       30.9739471133,    1.08201764576e+16
       31.3106204515,    1.08209824094e+16
       31.6472937897,    1.08217883613e+16
       31.9839671279,    1.08225192472e+16
       32.3206404661,    1.08232501331e+16
       32.6573138043,    1.08239108952e+16
       32.9939871425,    1.08245716573e+16
       33.3306604806,    1.08251669005e+16
       33.6673338188,    1.08257621436e+16
        34.004007157,    1.08262961588e+16
       34.3406804952,     1.0826830174e+16
       34.6773538334,    1.08273069606e+16
       35.0140271716,    1.08277837472e+16
       35.3507005098,     1.0828207033e+16
        35.687373848,    1.08286303188e+16
       36.0240471861,     1.0829003579e+16
       36.3607205243,    1.08293768392e+16
       36.6973938625,     1.0829703314e+16
       37.0340672007,    1.08300297888e+16
       37.3707405389,    1.08303124994e+16
       37.7074138771,      1.083059521e+16
       38.0440872153,    1.08308369736e+16
       38.3807605535,    1.08310787372e+16
       38.7174338917,    1.08312821814e+16
       39.0541072298,    1.08314856256e+16
        39.390780568,    1.08316532008e+16
       39.7274539062,     1.0831820776e+16
       40.0641272444,    1.08319547679e+16
       40.4008005826,    1.08320887599e+16
       40.7374739208,    1.08321913006e+16
        41.074147259,    1.08322938414e+16
       41.4108205972,    1.08323669198e+16
       41.7474939353,    1.08324399983e+16
       42.0841672735,    1.08324854698e+16
       42.4208406117,    1.08325309413e+16
       42.7575139499,    1.08325505369e+16
       43.0941872881,    1.08325701324e+16
       43.4308606263,    1.08325654669e+16
       43.7675339645,    1.08325608013e+16
       44.1042073027,    1.08325333813e+16
       44.4408806409,    1.08325059613e+16
        44.777553979,    1.08324571926e+16
       45.1142273172,    1.08324084239e+16
       45.4509006554,    1.08323396181e+16
       45.7875739936,    1.08322708123e+16
       46.1242473318,     1.0832183193e+16
         46.46092067,    1.08320955738e+16
       46.7975940082,     1.0831990283e+16
       47.1342673464,    1.08318849921e+16
       47.4709406846,     1.0831763095e+16
       47.8076140227,    1.08316411979e+16
       48.1442873609,    1.08315036886e+16
       48.4809606991,    1.08313661792e+16
       48.8176340373,     1.0831213985e+16
       49.1543073755,    1.08310617908e+16
       49.4909807137,    1.08308957772e+16
       49.8276540519,    1.08307297635e+16
       50.1643273901,    1.08305507376e+16
       50.5010007282,    1.08303717118e+16
       50.8376740664,     1.0830180427e+16
       51.1743474046,    1.08299891422e+16
       51.5110207428,    1.08297863011e+16
        51.847694081,    1.08295834601e+16
       52.1843674192,    1.08293697184e+16
       52.5210407574,    1.08291559768e+16
       52.8577140956,     1.0828931946e+16
       53.1943874338,    1.08287079152e+16
       53.5310607719,    1.08284741659e+16
       53.8677341101,    1.08282404166e+16
       54.2044074483,    1.08279974808e+16
       54.5410807865,     1.0827754545e+16
       54.8777541247,    1.08275029191e+16
       55.2144274629,    1.08272512932e+16
       55.5511008011,    1.08269914401e+16
       55.8877741393,     1.0826731587e+16
       56.2244474774,    1.08264639385e+16
       56.5611208156,    1.08261962899e+16
       56.8977941538,    1.08259212485e+16
        57.234467492,     1.0825646207e+16
       57.5711408302,     1.0825364148e+16
       57.9078141684,    1.08250820891e+16
       58.2444875066,    1.08247933626e+16
       58.5811608448,     1.0824504636e+16
        58.917834183,    1.08242095682e+16
       59.2545075211,    1.08239145004e+16
       59.5911808593,    1.08236133955e+16
       59.9278541975,    1.08233122905e+16
       60.2645275357,    1.08230054318e+16
       60.6012008739,    1.08226985731e+16
       60.9378742121,    1.08223862248e+16
       61.2745475503,    1.08220738765e+16
       61.6112208885,    1.08217562847e+16
       61.9478942266,    1.08214386928e+16
       62.2845675648,    1.08211160868e+16
        62.621240903,    1.08207934808e+16
       62.9579142412,     1.0820466074e+16
       63.2945875794,    1.08201386673e+16
       63.6312609176,    1.08198066587e+16
       63.9679342558,    1.08194746501e+16
        64.304607594,    1.08191382248e+16
       64.6412809322,    1.08188017996e+16
       64.9779542703,    1.08184611299e+16
       65.3146276085,    1.08181204603e+16
       65.6513009467,    1.08177757067e+16
