------------------------------------------------------------
 solve prev v1=0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,        9925.37789492
      0.336673338188,        3628955021190
      0.673346676377,        7257910032450
       1.01002001456,       10862419664600
       1.34669335275,       14466929296700
       1.68336669094,       18047119335700
       2.02004002913,       21627309374600
       2.35671336732,       25183305835100
       2.69338670551,       28739302295500
       3.03006004369,       32271231176100
       3.36673338188,       35803160056600
       3.70340672007,       39311147324700
       4.04008005826,       42819134592700
       4.37675339645,       46303306171600
       4.71342673464,       49787477750500
       5.05010007282,       53247959507300
       5.38677341101,       56708441264100
        5.7234467492,       60145358997500
       6.06012008739,       63582276730800
       6.39679342558,       66995756159100
       6.73346676377,       70409235587300
       7.07014010195,       73799402336700
       7.40681344014,       77189569086100
       7.74348677833,       80556548679600
       8.08016011652,       83923528273000
       8.41683345471,       87267446118700
        8.7535067929,       90611363964300
       9.09018013108,       93932345344700
       9.42685346927,       97253326725000
       9.76352680746,      100551496786000
       10.1002001456,      103849666847000
       10.4368734838,      107125150588000
        10.773546822,      110400634329000
       11.1102201602,      113653556591000
       11.4468934984,      116906478853000
       11.7835668366,      120136964310000
       12.1202401748,      123367449768000
        12.456913513,      126575622917000
       12.7935868512,      129783796067000
       13.1302601893,      132969781218000
       13.4669335275,      136155766368000
       13.8036068657,      139319687633000
       14.1402802039,      142483608898000
       14.4769535421,      145625590183000
       14.8136268803,      148767571469000
       15.1503002185,      151887736466000
       15.4869735567,      155007901464000
       15.8236468949,      158106373640000
        16.160320233,      161204845817000
       16.4969935712,      164281748408000
       16.8336669094,      167358650998000
       17.1703402476,      170414106996000
       17.5070135858,      173469562993000
        17.843686924,      176503695141000
       18.1803602622,      179537827289000
       18.5170336004,      182550758072000
       18.8537069385,      185563688856000
       19.1903802767,      188555540495000
       19.5270536149,      191547392134000
       19.8637269531,      194518286575000
       20.2004002913,      197489181016000
       20.5370736295,      200439239923000
       20.8737469677,      203389298830000
       21.2104203059,      206318643579000
       21.5470936441,      209247988328000
       21.8837669822,      212156740000000
       22.2204403204,      215065491672000
       22.5571136586,      217953771043000
       22.8937869968,      220842050415000
        23.230460335,      223709977953000
       23.5671336732,      226577905492000
       23.9038070114,      229425601348000
       24.2404803496,      232273297203000
       24.5771536877,      235100881204000
       24.9138270259,      237928465205000
       25.2505003641,      240736056848000
       25.5871737023,      243543648491000
       25.9238470405,      246331366938000
       26.2605203787,      249119085386000
       26.5971937169,      251887049457000
       26.9338670551,      254655013529000
       27.2705403933,      257403341697000
       27.6072137314,      260151669864000
       27.9438870696,      262880480247000
       28.2805604078,      265609290629000
        28.617233746,      268318700985000
       28.9539070842,      271028111341000
       29.2905804224,      273718239065000
       29.6272537606,      276408366788000
       29.9639270988,      279079328905000
       30.3006004369,      281750291021000
       30.6372737751,      284402204178000
       30.9739471133,      287054117336000
       31.3106204515,      289687097804000
       31.6472937897,      292320078272000
       31.9839671279,      294934241934000
       32.3206404661,      297548405596000
       32.6573138043,      300143867947000
       32.9939871425,      302739330297000
       33.3306604806,      305316206435000
       33.6673338188,      307893082574000
        34.004007157,      310451487201000
       34.3406804952,      313009891828000
       34.6773538334,      315549939241000
       35.0140271716,      318089986654000
       35.3507005098,      320611790743000
        35.687373848,      323133594832000
       36.0240471861,      325637269076000
       36.3607205243,      328140943321000
       36.6973938625,      330626600783000
       37.0340672007,      333112258245000
       37.3707405389,      335580011570000
       37.7074138771,      338047764895000
       38.0440872153,      340497726303000
       38.3807605535,      342947687712000
       38.7174338917,      345379968999000
       39.0541072298,      347812250285000
        39.390780568,      350226962815000
       39.7274539062,      352641675346000
       40.0641272444,      355038930051000
       40.4008005826,      357436184756000
       40.7374739208,      359816092132000
        41.074147259,      362195999507000
       41.4108205972,      364558669609000
       41.7474939353,      366921339711000
       42.0841672735,      369266882153000
       42.4208406117,      371612424594000
       42.7575139499,      373940948544000
       43.0941872881,      376269472493000
       43.4308606263,      378581086671000
       43.7675339645,      380892700848000
       44.1042073027,      383187513523000
       44.4408806409,      385482326197000
        44.777553979,      387760445185000
       45.1142273172,      390038564173000
       45.4509006554,      392300096834000
       45.7875739936,      394561629496000
       46.1242473318,      396806682733000
         46.46092067,      399051735971000
       46.7975940082,      401280416226000
       47.1342673464,      403509096481000
       47.4709406846,      405721509734000
       47.8076140227,      407933922987000
       48.1442873609,      410130174753000
       48.4809606991,      412326426519000
       48.8176340373,      414506621846000
       49.1543073755,      416686817173000
       49.4909807137,      418851060643000
       49.8276540519,      421015304112000
       50.1643273901,      423163699834000
       50.5010007282,      425312095556000
       50.8376740664,      427444747170000
       51.1743474046,      429577398784000
       51.5110207428,      431694409454000
        51.847694081,      433811420125000
       52.1843674192,      435912892544000
       52.5210407574,      438014364963000
       52.8577140956,      440100401344000
       53.1943874338,      442186437725000
       53.5310607719,      444257139806000
       53.8677341101,      446327841887000
       54.2044074483,      448383310927000
       54.5410807865,      450438779966000
       54.8777541247,      452479116742000
       55.2144274629,      454519453519000
       55.5511008011,      456544758329000
       55.8877741393,      458570063140000
       56.2244474774,      460580435800000
       56.5611208156,      462590808461000
       56.8977941538,      464586348304000
        57.234467492,      466581888147000
       57.5711408302,      468562694022000
       57.9078141684,      470543499896000
       58.2444875066,      472509670167000
       58.5811608448,      474475840437000
        58.917834183,      476427472982000
       59.2545075211,      478379105527000
       59.5911808593,      480316297740000
       59.9278541975,      482253489954000
       60.2645275357,      484176338741000
       60.6012008739,      486099187529000
       60.9378742121,      488007789311000
       61.2745475503,      489916391093000
       61.6112208885,      491810841801000
       61.9478942266,      493705292509000
       62.2845675648,      495585687589000
        62.621240903,      497466082668000
       62.9579142412,      499332517074000
       63.2945875794,      501198951481000
       63.6312609176,      503051519682000
       63.9679342558,      504904087884000
