------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,        9925.37789492
      0.336673338188,        2039375763800
      0.673346676377,        4078751517680
       1.01002001456,        6110872644660
       1.34669335275,        8142993771630
       1.68336669094,       10167875741700
       2.02004002913,       12192757711800
       2.35671336732,       14210416193600
       2.69338670551,       16228074675400
       3.03006004369,       18238525389900
       3.36673338188,       20248976104400
       3.70340672007,       22252234822400
       4.04008005826,       24255493540400
       4.37675339645,       26251576081700
       4.71342673464,       28247658622900
       5.05010007282,       30236580855600
       5.38677341101,       32225503088200
        5.7234467492,       34207280927700
       6.06012008739,       36189058767200
       6.39679342558,       38163708175700
       6.73346676377,       40138357584100
       7.07014010195,       42105894569400
       7.40681344014,       44073431554600
       7.74348677833,       46033872169600
       8.08016011652,       47994312784600
       8.41683345471,       49947673126300
        8.7535067929,       51901033468100
       9.09018013108,       53847329677100
       9.42685346927,       55793625886100
       9.76352680746,       57732874145500
       10.1002001456,       59672122404900
       10.4368734838,       61604338939600
        10.773546822,       63536555474300
       11.1102201602,       65461756550200
       11.4468934984,       67386957626200
       11.7835668366,       69305159549600
       12.1202401748,       71223361473000
        12.456913513,       73134580589600
       12.7935868512,       75045799706100
       13.1302601893,       76950052400300
       13.4669335275,       78854305094400
       13.8036068657,       80751607788500
       14.1402802039,       82648910482600
       14.4769535421,       84539279636100
       14.8136268803,       86429648789600
       15.1503002185,       88313100898500
       15.4869735567,       90196553007400
       15.8236468949,       92073104603200
        16.160320233,       93949656199000
       16.4969935712,       95819323848200
       16.8336669094,       97688991497400
       17.1703402476,       99551791800700
       17.5070135858,      101414592104000
        17.843686924,      103270541695000
       18.1803602622,      105126491287000
       18.5170336004,      106975606833000
       18.8537069385,      108824722379000
       19.1903802767,      110667020578000
       19.5270536149,      112509318777000
       19.8637269531,      114344816360000
       20.2004002913,      116180313942000
       20.5370736295,      118009027668000
       20.8737469677,      119837741393000
       21.2104203059,      121659688052000
       21.5470936441,      123481634711000
       21.8837669822,      125296831122000
       22.2204403204,      127112027533000
       22.5571136586,      128920490543000
       22.8937869968,      130728953554000
        23.230460335,      132530700038000
       23.5671336732,      134332446523000
       23.9038070114,      136127493383000
       24.2404803496,      137922540243000
       24.5771536877,      139710904407000
       24.9138270259,      141499268571000
       25.2505003641,      143280966991000
       25.5871737023,      145062665412000
       25.9238470405,      146837715067000
       26.2605203787,      148612764723000
       26.5971937169,      150381182615000
       26.9338670551,      152149600507000
       27.2705403933,      153911403661000
       27.6072137314,      155673206815000
       27.9438870696,      157428412279000
       28.2805604078,      159183617743000
        28.617233746,      160932242588000
       28.9539070842,      162680867432000
       29.2905804224,      164422928748000
       29.6272537606,      166164990064000
       29.9639270988,      167900504964000
       30.3006004369,      169636019863000
       30.6372737751,      171365005478000
       30.9739471133,      173093991093000
       31.3106204515,      174816464574000
       31.6472937897,      176538938056000
       31.9839671279,      178254916574000
       32.3206404661,      179970895093000
       32.6573138043,      181680395835000
       32.9939871425,      183389896578000
       33.3306604806,      185092936751000
       33.6673338188,      186795976923000
        34.004007157,      188492573747000
       34.3406804952,      190189170571000
       34.6773538334,      191879341285000
       35.0140271716,      193569511999000
       35.3507005098,      195253273855000
        35.687373848,      196937035712000
       36.0240471861,      198614405980000
       36.3607205243,      200291776247000
       36.6973938625,      201962772208000
       37.0340672007,      203633768169000
       37.3707405389,      205298407119000
