------------------------------------------------------------
 solve prev v1=-0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,        9925.37789492
      0.336673338188,       21292810910500
      0.673346676377,       42585621811000
       1.01002001456,       62789846425100
       1.34669335275,       82994071039200
       1.68336669094,      102178965356000
       2.02004002913,      121363859673000
       2.35671336732,      139592797657000
       2.69338670551,      157821735640000
       3.03006004369,      175152881553000
       3.36673338188,      192484027465000
       3.70340672007,      208970899967000
       4.04008005826,      225457772469000
       4.37675339645,      241149732075000
       4.71342673464,      256841691681000
       5.05010007282,      271784364109000
       5.38677341101,      286727036537000
        5.7234467492,      300962681998000
       6.06012008739,      315198327458000
       6.39679342558,      328766164133000
       6.73346676377,      342334000808000
       7.07014010195,      355270489304000
       7.40681344014,      368206977800000
       7.74348677833,      380546072216000
       8.08016011652,      392885166633000
       8.41683345471,      404658536924000
        8.7535067929,      416431907215000
       9.09018013108,      427669136796000
       9.42685346927,      438906366377000
       9.76352680746,      449635128267000
       10.1002001456,      460363890156000
       10.4368734838,      470610104461000
        10.773546822,      480856318766000
       11.1102201602,      490644293885000
       11.4468934984,      500432269005000
       11.7835668366,      509784828572000
       12.1202401748,      519137388139000
        12.456913513,      528075985437000
       12.7935868512,      537014582735000
       13.1302601893,      545559404076000
       13.4669335275,      554104225418000
       13.8036068657,      562274283770000
       14.1402802039,      570444342123000
       14.4769535421,      578257562090000
       14.8136268803,      586070782058000
       15.1503002185,      593544077179000
       15.4869735567,      601017372301000
       15.8236468949,      608166715509000
        16.160320233,      615316058717000
       16.4969935712,      622156546681000
       16.8336669094,      628997034645000
       17.1703402476,      635542946647000
       17.5070135858,      642088858650000
        17.843686924,      648353710554000
       18.1803602622,      654618562458000
       18.5170336004,      660615156259000
       18.8537069385,      666611750060000
       19.1903802767,      672352219462000
       19.5270536149,      678092688863000
       19.8637269531,      683588541264000
       20.2004002913,      689084393665000
       20.5370736295,      694346548894000
       20.8737469677,      699608704123000
       21.2104203059,      704647530235000
       21.5470936441,      709686356346000
       21.8837669822,      714511702738000
       22.2204403204,      719337049129000
       22.5571136586,      723958277228000
       22.8937869968,      728579505327000
        23.230460335,      733005517065000
       23.5671336732,      737431528802000
       23.9038070114,      741670793062000
       24.2404803496,      745910057321000
       24.5771536877,      749970634540000
       24.9138270259,      754031211758000
       25.2505003641,      757920776833000
       25.5871737023,      761810341908000
       25.9238470405,      765536205558000
       26.2605203787,      769262069208000
       26.5971937169,      772831197902000
       26.9338670551,      776400326597000
       27.2705403933,      779819361177000
       27.6072137314,      783238395757000
       27.9438870696,      786513668856000
       28.2805604078,      789788941955000
        28.617233746,      792926494298000
       28.9539070842,      796064046641000
       29.2905804224,      799069642325000
       29.6272537606,      802075238008000
       29.9639270988,      804954378829000
       30.3006004369,      807833519649000
       30.6372737751,      810591458553000
       30.9739471133,      813349397457000
       31.3106204515,      815991151177000
       31.6472937897,      818632904898000
       31.9839671279,      821163265841000
       32.3206404661,      823693626783000
       32.6573138043,      826117174203000
       32.9939871425,      828540721623000
       33.3306604806,      830861832161000
       33.6673338188,      833182942699000
        34.004007157,      835405800305000
       34.3406804952,      837628657910000
       34.6773538334,      839757263200000
       35.0140271716,      841885868490000
       35.3507005098,      843924047588000
        35.687373848,      845962226686000
       36.0240471861,      847913639562000
       36.3607205243,      849865052438000
       36.6973938625,      851733200794000
       37.0340672007,      853601349151000
       37.3707405389,      855389583879000
       37.7074138771,      857177818607000
       38.0440872153,      858889346841000
       38.3807605535,      860600875076000
       38.7174338917,      862238766874000
       39.0541072298,      863876658672000
        39.390780568,      865443853340000
       39.7274539062,      867011048007000
       40.0641272444,      868510360095000
       40.4008005826,      870009672182000
       40.7374739208,      871443797171000
        41.074147259,      872877922161000
       41.4108205972,      874249441858000
       41.7474939353,      875620961556000
       42.0841672735,      876932349215000
       42.4208406117,      878243736873000
       42.7575139499,      879497362052000
       43.0941872881,      880750987230000
       43.4308606263,      881949120417000
       43.7675339645,      883147253603000
       44.1042073027,      884292070601000
       44.4408806409,      885436887599000
        44.777553979,      886530473708000
       45.1142273172,      887624059817000
       45.4509006554,      888668413797000
       45.7875739936,      889712767778000
       46.1242473318,      890709805637000
         46.46092067,      891706843496000
       46.7975940082,      892658402081000
       47.1342673464,      893609960666000
       47.4709406846,      894517801091000
       47.8076140227,      895425641517000
       48.1442873609,      896291452431000
       48.4809606991,      897157263345000
       48.8176340373,      897982664038000
       49.1543073755,      898808064732000
       49.4909807137,      899594608102000
       49.8276540519,      900381151472000
       50.1643273901,      901130326853000
       50.5010007282,      901879502234000
       50.8376740664,      902592738094000
       51.1743474046,      903305973954000
       51.5110207428,      903984640466000
        51.847694081,      904663306978000
       52.1843674192,      905308718480000
       52.5210407574,      905954129982000
       52.8577140956,      906567547319000
       53.1943874338,      907180964656000
       53.5310607719,      907763597420000
       53.8677341101,      908346230185000
       54.2044074483,      908899238856000
       54.5410807865,      909452247527000
       54.8777541247,      909976745514000
       55.2144274629,      910501243500000
       55.5511008011,      910998299093000
       55.8877741393,      911495354686000
       56.2244474774,      911965992927000
       56.5611208156,      912436631168000
       56.8977941538,      912881835630000
        57.234467492,      913327040092000
       57.5711408302,      913747754590000
       57.9078141684,      914168469088000
       58.2444875066,      914565599309000
       58.5811608448,      914962729529000
        58.917834183,      915337144592000
       59.2545075211,      915711559654000
       59.5911808593,      916064093606000
       59.9278541975,      916416627557000
       60.2645275357,      916748080801000
       60.6012008739,      917079534045000
       60.9378742121,      917390674709000
       61.2745475503,      917701815373000
       61.6112208885,      917993380621000
       61.9478942266,      918284945868000
       62.2845675648,      918557643150000
        62.621240903,      918830340431000
       62.9579142412,      919084848687000
       63.2945875794,      919339356943000
       63.6312609176,      919576327753000
       63.9679342558,      919813298563000
        64.304607594,      920033357248000
       64.6412809322,      920253415933000
       64.9779542703,      920457162608000
       65.3146276085,      920660909284000
       65.6513009467,      920848919875000
       65.9879742849,      921036930465000
       66.3246476231,      921209757670000
       66.6613209613,      921382584875000
       66.9979942995,      921540759098000
       67.3346676377,      921698933321000
       67.6713409758,      921842963562000
        68.008014314,      921986993802000
       68.3446876522,      922117368505000
       68.6813609904,      922247743208000
       69.0180343286,      922364931086000
       69.3547076668,      922482118963000
        69.691381005,      922586569774000
       70.0280543432,      922691020586000
       70.3647276814,      922783165893000
       70.7014010195,      922875311200000
       71.0380743577,      922955565086000
       71.3747476959,      923035818972000
       71.7114210341,      923104578735000
       72.0480943723,      923173338497000
       72.3847677105,      923230985308000
       72.7214410487,      923288632120000
       73.0581143869,      923335531667000
        73.394787725,      923382431213000
       73.7314610632,      923418934304000
       74.0681344014,      923455437396000
       74.4048077396,      923481880548000
       74.7414810778,      923508323701000
        75.078154416,      923525029702000
       75.4148277542,      923541735703000
       75.7515010924,      923549014149000
       76.0881744306,      923556292595000
       76.4248477687,      923554440407000
       76.7615211069,      923552588220000
       77.0981944451,      923541890143000
       77.4348677833,      923531192065000
       77.7715411215,      923511921141000
       78.1082144597,      923492650217000
       78.4448877979,      923465068244000
       78.7815611361,      923437486270000
       79.1182344743,      923401844240000
       79.4549078124,      923366202209000
       79.7915811506,      923322740728000
       80.1282544888,      923279279247000
        80.464927827,      923228228943000
       80.8016011652,      923177178639000
       81.1382745034,      923118760545000
       81.4749478416,      923060342451000
       81.8116211798,      922994768380000
       82.1482945179,      922929194310000
       82.4849678561,      922856667214000
       82.8216411943,      922784140119000
       83.1583145325,      922704854430000
       83.4949878707,      922625568741000
       83.8316612089,      922539710700000
       84.1683345471,      922453852659000
       84.5050078853,      922361600636000
       84.8416812235,      922269348612000
       85.1783545616,      922170873405000
       85.5150278998,      922072398199000
        85.851701238,      921967863330000
       86.1883745762,      921863328461000
       86.5250479144,      921752890455000
       86.8617212526,      921642452449000
       87.1983945908,      921526261102000
        87.535067929,      921410069755000
       87.8717412671,      921288268393000
       88.2084146053,      921166467031000
       88.5450879435,      921039192759000
       88.8817612817,      920911918486000
       89.2184346199,      920779302424000
       89.5551079581,      920646686362000
       89.8917812963,      920508853876000
       90.2284546345,      920371021390000
       90.5651279727,      920228092313000
       90.9018013108,      920085163236000
        91.238474649,      919937252074000
