------------------------------------------------------------
 solve prev v1=-1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Hole Charge Concentration (/cm3)
                   0,        9925.37789492
      0.336673338188,       32993530021900
      0.673346676377,       65987060033900
       1.01002001456,       96119555006800
       1.34669335275,      126252049980000
       1.68336669094,      153825654286000
       2.02004002913,      181399258593000
       2.35671336732,      206674767358000
       2.69338670551,      231950276124000
       3.03006004369,      255154445470000
       3.36673338188,      278358614815000
       3.70340672007,      299689843165000
       4.04008005826,      321021071514000
       4.37675339645,      340653918707000
       4.71342673464,      360286765901000
       5.05010007282,      378375588934000
       5.38677341101,      396464411967000
        5.7234467492,      413146319937000
       6.06012008739,      429828227907000
       6.39679342558,      445225506015000
       6.73346676377,      460622784124000
       7.07014010195,      474844899087000
       7.40681344014,      489067014051000
       7.74348677833,      502212286205000
       8.08016011652,      515357558358000
       8.41683345471,      527514565901000
        8.7535067929,      539671573444000
       9.09018013108,      550920339620000
       9.42685346927,      562169105797000
       9.76352680746,      572582108766000
       10.1002001456,      582995111735000
       10.4368734838,      592638148560000
        10.773546822,      602281185385000
       11.1102201602,      611214115171000
       11.4468934984,      620147044956000
       11.7835668366,      628424431237000
       12.1202401748,      636701817517000
        12.456913513,      644373486149000
       12.7935868512,      652045154781000
       13.1302601893,      659156680576000
       13.4669335275,      666268206371000
       13.8036068657,      672861339312000
       14.1402802039,      679454472253000
       14.4769535421,      685567512234000
       14.8136268803,      691680552214000
       15.1503002185,      697348679707000
       15.4869735567,      703016807200000
       15.8236468949,      708272376039000
        16.160320233,      713527944878000
       16.4969935712,      718400742314000
       16.8336669094,      723273539749000
       17.1703402476,      727791018140000
       17.5070135858,      732308496530000
        17.843686924,      736495980348000
       18.1803602622,      740683464167000
       18.5170336004,      744564335440000
       18.8537069385,      748445206713000
       19.1903802767,      752041071571000
       19.5270536149,      755636936429000
       19.8637269531,      758967775034000
       20.2004002913,      762298613639000
       20.5370736295,      765382915460000
       20.8737469677,      768467217281000
       21.2104203059,      771322103405000
       21.5470936441,      774176989529000
       21.8837669822,      776818323464000
       22.2204403204,      779459657398000
       22.5571136586,      781902145651000
       22.8937869968,      784344633904000
        23.230460335,      786601917426000
       23.5671336732,      788859200949000
       23.9038070114,      790943938427000
       24.2404803496,      793028675904000
       24.5771536877,      794952619732000
       24.9138270259,      796876563559000
       25.2505003641,      798650629248000
       25.5871737023,      800424694936000
       25.9238470405,      802059024609000
       26.2605203787,      803693354282000
       26.5971937169,      805197374837000
       26.9338670551,      806701395391000
       27.2705403933,      808083871844000
       27.6072137314,      809466348296000
       27.9438870696,      810735432760000
       28.2805604078,      812004517225000
        28.617233746,      813167793937000
       28.9539070842,      814331070648000
       29.2905804224,      815395597393000
       29.6272537606,      816460124137000
       29.9639270988,      817432470406000
       30.3006004369,      818404816674000
       30.6372737751,      819291098839000
