------------------------------------------------------------
 solve prev v1=0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
                   0,        32.7434474018
      0.336673338188,        32.7434474018
      0.673346676377,        32.7434474018
       1.01002001456,        32.7434474018
       1.34669335275,        32.7434474018
       1.68336669094,        32.7434474018
       2.02004002913,        32.7434474018
       2.35671336732,        32.7434474018
       2.69338670551,        32.7434474018
       3.03006004369,        32.7434474018
       3.36673338188,        32.7434474018
       3.70340672007,        32.7434474018
       4.04008005826,        32.7434474018
       4.37675339645,        32.7434474018
       4.71342673464,        32.7434474018
       5.05010007282,        32.7434474018
       5.38677341101,        32.7434474018
        5.7234467492,        32.7434474018
       6.06012008739,        32.7434474018
       6.39679342558,        32.7434474018
       6.73346676377,        32.7434474018
       7.07014010195,        32.7434474018
       7.40681344014,        32.7434474018
       7.74348677833,        32.7434474018
       8.08016011652,        32.7434474018
       8.41683345471,        32.7434474018
        8.7535067929,        32.7434474018
       9.09018013108,        32.7434474018
       9.42685346927,        32.7434474018
       9.76352680746,        32.7434474018
       10.1002001456,        32.7434474018
       10.4368734838,        32.7434474018
        10.773546822,        32.7434474018
       11.1102201602,        32.7434474018
       11.4468934984,        32.7434474018
       11.7835668366,        32.7434474018
       12.1202401748,        32.7434474018
        12.456913513,        32.7434474018
       12.7935868512,        32.7434474018
       13.1302601893,        32.7434474018
       13.4669335275,        32.7434474018
       13.8036068657,        32.7434474018
       14.1402802039,        32.7434474018
       14.4769535421,        32.7434474018
       14.8136268803,        32.7434474018
       15.1503002185,        32.7434474018
       15.4869735567,        32.7434474018
       15.8236468949,        32.7434474018
        16.160320233,        32.7434474018
       16.4969935712,        32.7434474018
       16.8336669094,        32.7434474018
       17.1703402476,        32.7434474018
       17.5070135858,        32.7434474018
        17.843686924,        32.7434474018
       18.1803602622,        32.7434474018
       18.5170336004,        32.7434474018
       18.8537069385,        32.7434474018
       19.1903802767,        32.7434474018
       19.5270536149,        32.7434474018
       19.8637269531,        32.7434474018
       20.2004002913,        32.7434474018
       20.5370736295,        32.7434474018
       20.8737469677,        32.7434474018
       21.2104203059,        32.7434474018
       21.5470936441,        32.7434474018
       21.8837669822,        32.7434474018
       22.2204403204,        32.7434474018
       22.5571136586,        32.7434474018
       22.8937869968,        32.7434474018
        23.230460335,        32.7434474018
       23.5671336732,        32.7434474018
       23.9038070114,        32.7434474018
