------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
                   0,        64.4662680992
      0.336673338188,        64.4662680992
      0.673346676377,        64.4662680992
       1.01002001456,        64.4662680992
       1.34669335275,        64.4662680992
       1.68336669094,        64.4662680992
       2.02004002913,        64.4662680992
       2.35671336732,        64.4662680992
       2.69338670551,        64.4662680992
       3.03006004369,        64.4662680992
       3.36673338188,        64.4662680992
       3.70340672007,        64.4662680992
       4.04008005826,        64.4662680992
       4.37675339645,        64.4662680992
       4.71342673464,        64.4662680992
       5.05010007282,        64.4662680992
       5.38677341101,        64.4662680992
        5.7234467492,        64.4662680992
       6.06012008739,        64.4662680992
       6.39679342558,        64.4662680992
       6.73346676377,        64.4662680992
       7.07014010195,        64.4662680992
       7.40681344014,        64.4662680992
       7.74348677833,        64.4662680992
       8.08016011652,        64.4662680992
       8.41683345471,        64.4662680992
        8.7535067929,        64.4662680992
       9.09018013108,        64.4662680992
       9.42685346927,        64.4662680992
       9.76352680746,        64.4662680992
       10.1002001456,        64.4662680992
       10.4368734838,        64.4662680992
        10.773546822,        64.4662680992
       11.1102201602,        64.4662680992
       11.4468934984,        64.4662680992
       11.7835668366,        64.4662680992
       12.1202401748,        64.4662680992
        12.456913513,        64.4662680992
       12.7935868512,        64.4662680992
       13.1302601893,        64.4662680992
       13.4669335275,        64.4662680992
       13.8036068657,        64.4662680992
       14.1402802039,        64.4662680992
       14.4769535421,        64.4662680992
       14.8136268803,        64.4662680992
       15.1503002185,        64.4662680992
       15.4869735567,        64.4662680992
       15.8236468949,        64.4662680992
        16.160320233,        64.4662680992
       16.4969935712,        64.4662680992
       16.8336669094,        64.4662680992
       17.1703402476,        64.4662680992
       17.5070135858,        64.4662680992
        17.843686924,        64.4662680992
       18.1803602622,        64.4662680992
       18.5170336004,        64.4662680992
       18.8537069385,        64.4662680992
       19.1903802767,        64.4662680992
       19.5270536149,        64.4662680992
       19.8637269531,        64.4662680992
       20.2004002913,        64.4662680992
       20.5370736295,        64.4662680992
       20.8737469677,        64.4662680992
       21.2104203059,        64.4662680992
       21.5470936441,        64.4662680992
       21.8837669822,        64.4662680992
       22.2204403204,        64.4662680992
       22.5571136586,        64.4662680992
       22.8937869968,        64.4662680992
        23.230460335,        64.4662680992
       23.5671336732,        64.4662680992
       23.9038070114,        64.4662680992
