------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Quasi Fermi Level (eV)
                   0,   -9.18412042522e-17
       33.5999991512,   -9.18412042522e-17
       60.4799984721,   -9.18412042522e-17
       81.9839979289,   -9.18412042522e-17
       99.1871974943,   -9.18412042522e-17
       112.949757147,   -9.18412042522e-17
       123.959804869,   -9.18412042522e-17
       132.767843046,   -9.18412042522e-17
       139.814273588,   -9.18412042522e-17
       145.451418022,   -9.18412042522e-17
       149.961133568,   -9.18412042522e-17
       153.568906006,   -9.18412042522e-17
       156.455123956,   -9.18412042522e-17
       158.764098316,   -9.18412042522e-17
       160.611277804,   -9.18412042522e-17
       162.089021394,   -9.18412042522e-17
       163.271216267,   -9.18412042522e-17
       164.216972165,   -9.18412042522e-17
       164.973576883,   -9.18412042522e-17
       165.578860657,   -1.83682408504e-16
       166.063087677,   -9.18412042522e-17
       166.450469293,   -9.18412042522e-17
       166.760374586,   -9.18412042522e-17
        167.00829882,                    0
       167.206638207,   -9.18412042522e-17
       167.365309717,   -9.18412042522e-17
       167.492246925,   -9.18412042522e-17
       167.593796691,                    0
       167.675036504,   -9.18412042522e-17
       167.740028354,   -9.18412042522e-17
       167.792021835,   -9.18412042522e-17
       167.833616619,   -9.18412042522e-17
       167.866892446,   -9.18412042522e-17
       167.893513108,   -9.18412042522e-17
       167.914809638,   -9.18412042522e-17
       167.931846861,   -9.18412042522e-17
        167.94547664,   -9.18412042522e-17
       167.956380463,   -9.18412042522e-17
       167.965103522,   -9.18412042522e-17
       167.972081969,   -9.18412042522e-17
       167.977664726,   -9.18412042522e-17
       167.982130932,   -9.18412042522e-17
       167.985703897,   -9.18412042522e-17
       167.988562269,   -9.18412042522e-17
       167.990848966,   -9.18412042522e-17
       167.992678324,   -9.18412042522e-17
        167.99414181,   -9.18412042522e-17
         167.9953126,   -9.18412042522e-17
       167.996249231,   -9.18412042522e-17
       167.996998536,   -9.18412042522e-17
        167.99759798,   -9.18412042522e-17
       167.998077535,   -9.18412042522e-17
       167.998461179,   -9.18412042522e-17
       167.999013627,   -9.18412042522e-17
       167.999367193,   -9.18412042522e-17
       167.999738297,   -9.18412042522e-17
       168.000089079,   -9.18412042522e-17
       168.000477284,   -9.18412042522e-17
       168.000827837,   -9.18412042522e-17
       168.001193953,   -9.18412042522e-17
        168.00172116,   -9.18412042522e-17
        168.00206624,   -9.18412042522e-17
       168.002480337,   -9.18412042522e-17
       168.002977254,   -9.18412042522e-17
       168.003573553,   -9.18412042522e-17
       168.004289113,   -9.18412042522e-17
       168.005147784,   -9.18412042522e-17
        168.00617819,   -9.18412042522e-17
       168.007414677,   -9.18412042522e-17
       168.008898461,   -9.18412042522e-17
       168.010679002,   -9.18412042522e-17
       168.012815651,   -9.18412042522e-17
        168.01537963,   -9.18412042522e-17
       168.018456405,   -9.18412042522e-17
       168.022148535,   -9.18412042522e-17
       168.026579091,   -9.18412042522e-17
       168.031895757,   -9.18412042522e-17
       168.038275758,   -9.18412042522e-17
       168.045931758,   -9.18412042522e-17
       168.055118959,   -9.18412042522e-17
       168.066143599,   -9.18412042522e-17
       168.079373168,   -9.18412042522e-17
        168.09524865,   -9.18412042522e-17
       168.114299229,   -9.18412042522e-17
       168.137159924,   -9.18412042522e-17
       168.164592758,   -9.18412042522e-17
       168.197512158,   -9.18412042522e-17
       168.237015439,   -9.18412042522e-17
       168.284419375,   -9.18412042522e-17
       168.341304099,   -9.18412042522e-17
       168.409565768,   -9.18412042522e-17
       168.491479771,   -9.18412042522e-17
       168.589776573,   -9.18412042522e-17
       168.707732737,   -9.18412042522e-17
       168.849280133,   -9.18412042522e-17
       169.019137009,   -9.18412042522e-17
       169.222965259,   -9.18412042522e-17
        169.46755916,   -9.18412042522e-17
       169.761071841,   -9.18412042522e-17
       170.113287058,   -9.18412042522e-17
       170.535945319,   -9.18412042522e-17
       171.043135231,   -9.18412042522e-17
       171.651763126,   -9.18412042522e-17
         172.3821166,   -9.18412042522e-17
       173.258540769,   -9.18412042522e-17
       174.310249772,   -9.18412042522e-17
       175.572300575,   -9.18412042522e-17
       177.086761539,   -9.18412042522e-17
       178.904114695,   -9.18412042522e-17
       181.084938483,   -9.18412042522e-17
       183.701927029,   -9.18412042522e-17
       186.842313284,   -9.18412042522e-17
       190.610776789,   -9.18412042522e-17
       195.132932996,   -9.18412042522e-17
       200.559520444,   -9.18412042522e-17
       207.071425381,   -9.18412042522e-17
       214.885711307,   -9.18412042522e-17
       224.262854417,   -9.18412042522e-17
       235.515426149,   -9.18412042522e-17
       249.018512228,   -9.18412042522e-17
       265.222215522,   -9.18412042522e-17
       284.666659475,   -9.18412042522e-17
       307.999992219,   -9.18412042522e-17
       335.999991512,   -9.18412042522e-17

