------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,      -0.196875821309
       33.5999991512,      -0.196875821309
       60.4799984721,      -0.196875821309
       81.9839979289,      -0.196875821309
       99.1871974943,      -0.196875821309
       112.949757147,      -0.196875821309
       123.959804869,      -0.196875821309
       132.767843046,      -0.196875821309
       139.814273588,      -0.196875821309
       145.451418022,      -0.196875821309
       149.961133568,      -0.196875821309
       153.568906006,      -0.196875821309
       156.455123956,      -0.196875821309
       158.764098316,      -0.196875821309
       160.611277804,      -0.196875821309
       162.089021394,      -0.196875821309
       163.271216267,      -0.196875821309
       164.216972165,      -0.196875821309
       164.973576883,      -0.196875821309
       165.578860657,      -0.196875821309
       166.063087677,      -0.196875821309
       166.450469293,      -0.196875821315
       166.760374586,      -0.196875821684
        167.00829882,      -0.196875837376
       167.206638207,      -0.196876271689
       167.365309717,      -0.196884185544
       167.492246925,      -0.196980435331
       167.593796691,      -0.197775866802
       167.675036504,      -0.202307862933
       167.740028354,      -0.219742606537
       167.792021835,      -0.261068718989
       167.833616619,      -0.321483227804
       167.866892446,       -0.38876157221
       167.893513108,      -0.454801446714
       167.914809638,       -0.51545666516
       167.931846861,      -0.568987975387
        167.94547664,       -0.61501760834
       167.956380463,      -0.653892270222
       167.965103522,      -0.686304666054
       167.972081969,      -0.713074801876
       167.977664726,      -0.735028834156
       167.982130932,      -0.752936574527
       167.985703897,      -0.767483528146
       167.988562269,      -0.779262641425
       167.990848966,      -0.788776750174
       167.992678324,      -0.796446336515
        167.99414181,      -0.802619443332
         167.9953126,      -0.807581973776
       167.996249231,      -0.811567441017
       167.996998536,      -0.814765731294
        167.99759798,      -0.817330729555
       167.998077535,      -0.819386813611
       167.998461179,      -0.821034301812
       167.998768095,      -0.822353973241
       167.999013627,      -0.823410788014
       167.999210053,      -0.824256930523
       167.999367193,      -0.824934287106
       167.999492906,      -0.825476455904
       167.999593476,      -0.825910372551
       167.999673932,      -0.826257622174
       167.999738297,       -0.82653549635
       167.999789789,      -0.826757843375
       167.999830982,      -0.826935751526
       167.999863937,      -0.827078097591
       167.999890301,      -0.827191986954
       167.999911392,      -0.827283106453
       167.999928265,      -0.827356007179
       167.999941763,      -0.827414331041
       167.999952561,       -0.82746099223
         167.9999612,      -0.827498322526
       167.999968111,      -0.827528187623
        167.99997364,      -0.827552080252
       167.999978063,      -0.827571194707
       167.999981602,      -0.827586486497
       167.999984433,      -0.827598720073
       167.999986697,      -0.827608507026
       167.999988509,      -0.827616336648
       167.999989958,      -0.827622600383
       167.999991118,      -0.827627611396
       167.999992046,      -0.827631620221
       167.999992788,      -0.827634827291
       167.999993381,      -0.827637392954
       167.999993856,      -0.827639445488
       167.999994236,      -0.827641087518
        167.99999454,      -0.827642401143
       167.999994783,      -0.827643452045
       167.999994978,      -0.827644292767
       167.999995258,      -0.827645503407
       167.999995437,      -0.827646278218
       167.999995625,       -0.82764709146
       167.999995809,      -0.827647883373
       167.999996029,      -0.827648834622
       167.999996228,      -0.827649693605
       167.999996435,      -0.827650590719
       167.999996734,      -0.827651882557
        167.99999693,      -0.827652728119
       167.999997164,      -0.827653742788
       167.999997446,      -0.827654960385
       167.999997784,      -0.827656421492
        167.99999819,      -0.827658174806
       167.999998677,      -0.827660278764
       167.999999261,      -0.827662803484
       167.999999962,      -0.827665833107
       168.000000803,      -0.827669468596
       168.000001813,      -0.827673831097
       168.000003024,      -0.827679065976
       168.000004478,      -0.827685347653
       168.000006223,      -0.827692885411
       168.000008316,      -0.827701930354
       168.000010828,      -0.827712783757
       168.000013842,       -0.82772580708
        168.00001746,      -0.827741433972
       168.000021801,      -0.827760184666
        168.00002701,      -0.827782683227
        168.00003326,       -0.82780967823
       168.000040761,      -0.827842067523
       168.000049762,      -0.827880927894
       168.000060564,      -0.827927550573
       168.000073525,      -0.827983483726
       168.000089079,       -0.82805058326
       168.000107744,      -0.828131073543
       168.000130142,      -0.828227619895
       168.000157019,      -0.828343415058
       168.000189271,      -0.828482282195
       168.000227974,      -0.828648797399
       168.000274418,      -0.828848435135
       168.000330151,      -0.829087740501
        168.00039703,      -0.829374532686
       168.000477284,      -0.829718144431
        168.00057359,      -0.830129702625
       168.000689157,      -0.830622455304
       168.000827837,      -0.831212150076
       168.000994253,      -0.831917468089
       168.001193953,      -0.832760515872
       168.001433592,      -0.833767373895
        168.00172116,      -0.834968695007
        168.00206624,      -0.836400336569
       168.002480337,      -0.838103995511
       168.002977254,       -0.84012779325
       168.003573553,      -0.842526723753
       168.004289113,      -0.845362828224
       168.005147784,      -0.848704887145
        168.00617819,      -0.852627315925
       168.007414677,      -0.857207803697
       168.008898461,      -0.862523035642
       168.010679002,      -0.868641584525
       168.012815651,      -0.875612769684
        168.01537963,      -0.883450057105
       168.018456405,      -0.892107688574
       168.022148535,      -0.901450355385
       168.026579091,       -0.91121926516
       168.031895757,       -0.92100602229
       168.038275758,      -0.930259235836
       168.045931758,       -0.93835993722
       168.055118959,      -0.944784344538
       168.066143599,        -0.9492993829
       168.079373168,      -0.952056719664
        168.09524865,      -0.953495261498
       168.114299229,      -0.954125696086
       168.137159924,      -0.954353344432
       168.164592758,      -0.954419574503
       168.197512158,      -0.954434726537
       168.237015439,      -0.954437387799
       168.284419375,      -0.954437738865
       168.341304099,      -0.954437773003
       168.409565768,      -0.954437775412
       168.491479771,      -0.954437775534
       168.589776573,      -0.954437775539
       168.707732737,      -0.954437775539
       168.849280133,      -0.954437775539
       169.019137009,      -0.954437775539
       169.222965259,      -0.954437775539
        169.46755916,      -0.954437775539
       169.761071841,      -0.954437775539
       170.113287058,      -0.954437775539
       170.535945319,      -0.954437775539
       171.043135231,      -0.954437775539
       171.651763126,      -0.954437775539
         172.3821166,      -0.954437775539
       173.258540769,      -0.954437775539
       174.310249772,      -0.954437775539
       175.572300575,      -0.954437775539
       177.086761539,      -0.954437775539
       178.904114695,      -0.954437775539
       181.084938483,      -0.954437775539
       183.701927029,      -0.954437775539
       186.842313284,      -0.954437775539
       190.610776789,      -0.954437775539
       195.132932996,      -0.954437775539
       200.559520444,      -0.954437775539
       207.071425381,      -0.954437775539
       214.885711307,      -0.954437775539
       224.262854417,      -0.954437775539
       235.515426149,      -0.954437775539
       249.018512228,      -0.954437775539
       265.222215522,      -0.954437775539
       284.666659475,      -0.954437775539
       307.999992219,      -0.954437775539
       335.999991512,      -0.954437775539

