------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Net Charge Concentration (C/cm3)
                   0,    -1.1298360231e-18
       33.5999991512,                    0
       60.4799984721,                    0
       81.9839979289,                    0
       99.1871974943,                    0
       112.949757147,                    0
       123.959804869,                    0
       132.767843046,                    0
       139.814273588,                    0
       145.451418022,                    0
       149.961133568,                    0
       153.568906006,                    0
       156.455123956,                    0
       158.764098316,                    0
       160.611277804,                    0
       162.089021394,                    0
       163.271216267,                    0
       164.216972165,                    0
       164.973576883,                    0
       165.578860657,   -2.18434964466e-17
       166.063087677,   -3.46388894082e-15
       166.450469293,   -3.53086373721e-13
       166.760374586,   -2.32612489601e-11
        167.00829882,   -9.95672630887e-10
       167.206638207,   -2.79100533339e-08
       167.365309717,   -5.18252204772e-07
       167.492246925,   -6.46988565764e-06
       167.593796691,   -5.48164892857e-05
       167.675036504,   -0.000303611382424
       167.740028354,   -0.000940541555939
       167.792021835,    -0.00146827041888
       167.833616619,    -0.00158907984336
       167.866892446,    -0.00160104285676
       167.893513108,    -0.00160192569136
       167.914809638,    -0.00160199333071
       167.931846861,    -0.00160200236405
        167.94547664,    -0.00160201897509
       167.956380463,    -0.00160208584983
       167.965103522,    -0.00160230078379
       167.972081969,    -0.00160284714836
       167.977664726,    -0.00160398049222
       167.982130932,    -0.00160595928488
       167.985703897,    -0.00160895027739
       167.988562269,    -0.00161296198339
       167.990848966,    -0.00161783889033
       167.992678324,    -0.00162330947686
        167.99414181,    -0.00162905703648
         167.9953126,    -0.00163478311086
       167.996249231,    -0.00164024772124
       167.996998536,    -0.00164528490741
        167.99759798,    -0.00164980003215
       167.998077535,    -0.00165375712968
       167.998461179,    -0.00165716299185
       167.998768095,    -0.00166005212954
       167.999013627,     -0.0016624745346
       167.999210053,    -0.00166448670753
       167.999367193,    -0.00166614564305
       167.999492906,    -0.00166750516481
       167.999593476,    -0.00166861396723
       167.999673932,    -0.00166951481118
       167.999738297,    -0.00167024444643
       167.999789789,    -0.00167083395488
       167.999830982,    -0.00167130930783
       167.999863937,    -0.00167169200533
       167.999890301,    -0.00167199971808
       167.999911392,    -0.00167224688799
       167.999928265,    -0.00167244526612
       167.999941763,    -0.00167260438087
       167.999952561,    -0.00167273193715
         167.9999612,    -0.00167283415175
       167.999968111,    -0.00167291603214
        167.99997364,     -0.0016729816061
       167.999978063,    -0.00167303410989
       167.999981602,    -0.00167307614151
       167.999984433,     -0.0016731097851
       167.999986697,     -0.0016731367117
       167.999988509,    -0.00167315826048
       167.999989958,    -0.00167317550431
       167.999991118,    -0.00167318930244
       167.999992788,    -0.00167320917657
       167.999993856,    -0.00167322189898
       167.999994978,    -0.00167323525493
       167.999995756,     0.00954075580034
       167.999996734,      0.0095407441502
       167.999997784,      0.0095407316379
       167.999999261,     0.00954071404121
       168.000000803,     0.00954069565926
       168.000001813,     0.00954068362519
       168.000003024,     0.00954066918196
       168.000004478,     0.00954065184672
       168.000006223,     0.00954063103957
       168.000008316,       0.009540606064
       168.000010828,     0.00954057608323
       168.000013842,     0.00954054009179
        168.00001746,     0.00954049688116
       168.000021801,     0.00954044499827
        168.00002701,      0.0095403826954
        168.00003326,     0.00954030786941
       168.000040761,      0.0095402179881
       168.000049762,     0.00954011000064
       168.000060564,     0.00953998022843
       168.000073525,     0.00953982423178
       168.000089079,      0.0095396366464
       168.000107744,     0.00953941098217
       168.000130142,     0.00953913937432
       168.000157019,     0.00953881227425
       168.000189271,       0.009538418063
       168.000227974,     0.00953794256483
       168.000274418,      0.0095373684304
       168.000330151,      0.0095366743481
        168.00039703,     0.00953583402614
       168.000477284,     0.00953481486528
        168.00057359,     0.00953357620911
       168.000689157,     0.00953206700955
       168.000827837,     0.00953022267244
       168.000994253,     0.00952796073751
       168.001193953,     0.00952517487743
       168.001433592,     0.00952172643743
        168.00172116,     0.00951743232133
        168.00206624,     0.00951204736535
       168.002480337,     0.00950523826096
       168.002977254,     0.00949654430935
       168.003573553,     0.00948531731725
       168.004289113,     0.00947062791941
       168.005147784,     0.00945111704257
        168.00617819,     0.00942475656666
       168.007414677,     0.00938845833498
       168.008898461,     0.00933742942168
       168.010679002,     0.00926410742487
       168.012815651,     0.00915642432914
        168.01537963,     0.00899508360229
       168.018456405,     0.00874966940063
       168.022148535,     0.00837425893775
       168.026579091,     0.00780587987236
       168.031895757,     0.00697467719362
       168.038275758,     0.00583961111208
       168.045931758,     0.00445131301876
       168.055118959,       0.002995367916
       168.066143599,      0.0017326711482
       168.079373168,    0.000845782596502
        168.09524865,    0.000344136882756
       168.114299229,    0.000115340750332
       168.137159924,    3.13422283106e-05
       168.164592758,    6.76518448178e-06
       168.197512158,    1.13362256977e-06
       168.237015439,    1.44169624322e-07
       168.284419375,    1.36360796384e-08
       168.341304099,    9.43054461804e-10
       168.409565768,    4.70464217147e-11
       168.491479771,     1.6754353451e-12
       168.589776573,    4.22618930561e-14
       168.707732737,    7.50211119339e-16
       168.849280133,    9.03868818481e-18
       169.019137009,                    0
       169.222965259,                    0
        169.46755916,                    0
       169.761071841,                    0
       170.113287058,                    0
       170.535945319,                    0
       171.043135231,                    0
       171.651763126,                    0
         172.3821166,                    0
       173.258540769,                    0
       174.310249772,                    0
       175.572300575,                    0
       177.086761539,                    0
       178.904114695,                    0
       181.084938483,                    0
       183.701927029,                    0
       186.842313284,                    0
       190.610776789,                    0
       195.132932996,                    0
       200.559520444,                    0
       207.071425381,                    0
       214.885711307,                    0
       224.262854417,                    0
       235.515426149,                    0
       249.018512228,                    0
       265.222215522,                    0
       284.666659475,                    0
       307.999992219,                    0
       335.999991512,   -1.05451362156e-17

