------------------------------------------------------------
 solve init
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,                   -0
       33.5999991512,                   -0
       60.4799984721,                   -0
       81.9839979289,                   -0
       99.1871974943,                   -0
       112.949757147,                   -0
       123.959804869,                   -0
       132.767843046,                   -0
       139.814273588,                   -0
       145.451418022,                   -0
       149.961133568,                   -0
       153.568906006,                   -0
       156.455123956,                   -0
       158.764098316,                   -0
       160.611277804,                   -0
       162.089021394,                   -0
       163.271216267,                   -0
       164.216972165,                   -0
       164.973576883,   -2.95035260407e-12
       165.578860657,   -6.39847316972e-10
       166.063087677,   -8.14201407744e-08
       166.450469293,   -6.69152354387e-06
       166.760374586,   -0.000356921395919
        167.00829882,      -0.012446563732
       167.206638207,      -0.286819530376
       167.365309717,       -4.43415447334
       167.492246925,       -46.8862249711
       167.593796691,        -344.73192422
       167.675036504,       -1738.27102893
       167.740028354,       -5608.00529627
       167.792021835,       -11601.7778978
       167.833616619,       -17687.7862461
       167.866892446,       -22768.0320065
       167.893513108,       -26848.5941458
       167.914809638,       -30114.0125756
       167.931846861,        -32726.409835
        167.94547664,         -34816.34437
       167.956380463,       -36488.3355631
       167.965103522,       -37826.0461621
       167.972081969,       -38896.4688921
       167.977664726,       -39753.2558537
       167.982130932,       -40439.3506131
       167.985703897,       -40989.0762169
       167.988562269,       -41429.8146275
       167.990848966,       -41783.3780833
       167.992678324,       -42067.1347523
        167.99414181,       -42294.9257903
         167.9953126,       -42477.8014979
       167.996249231,       -42624.6036829
       167.996998536,       -42742.4220225
        167.99759798,       -42836.9507289
       167.998077535,       -42912.7681335
       167.998461179,       -42973.5572424
       167.998768095,       -43022.2809915
       167.999013627,       -43061.3224041
       167.999210053,       -43092.5972211
       167.999367193,       -43117.6446827
       167.999492906,       -43137.7008118
       167.999593476,       -43153.7575951
       167.999673932,       -43166.6107597
       167.999738297,       -43176.8983138
       167.999789789,       -43185.1316078
       167.999830982,       -43191.7203423
       167.999863937,       -43196.9926832
       167.999890301,       -43201.2114269
       167.999911392,        -43204.586982
       167.999928265,       -43207.2877859
       167.999941763,       -43209.4486599
       167.999952561,       -43211.1775073
         167.9999612,       -43212.5606802
       167.999968111,       -43213.6672793
        167.99997364,       -43214.5525977
       167.999978063,       -43215.2608774
       167.999981602,       -43215.8275172
       167.999984433,       -43216.2808392
       167.999986697,       -43216.6435035
       167.999988509,       -43216.9336391
       167.999989958,       -43217.1657502
       167.999991118,       -43217.3514407
       167.999992046,       -43217.4999946
       167.999992788,       -43217.6188381
       167.999993381,       -43217.7139131
       167.999993856,       -43217.7899743
       167.999994236,       -43217.8508226
        167.99999454,       -43217.8995018
       167.999994978,       -43217.9695997
       167.999995258,       -43218.0144627
       167.999995552,       -43218.0615485
       167.999995756,       -43218.1065404
       167.999995756,       -43218.0607323
       167.999995756,       -43218.1822453
       167.999995756,       -43218.0098249
       167.999995756,       -43218.1849191
       167.999995756,       -43218.2852155
       167.999995756,       -43218.0138993
       167.999995756,       -43217.6814117
       167.999995756,       -43217.9562709
       167.999995756,       -43218.6519943
       167.999995756,       -43217.7209106
       167.999995756,       -43217.6158653
       167.999995756,       -43217.9105596
       167.999995756,       -43218.0936005
       167.999995809,       -43218.0461121
       167.999995865,       -43217.9942257
       167.999995914,       -43217.9501407
       167.999995983,       -43217.8866559
       167.999996083,       -43217.7952442
       167.999996149,       -43217.7354082
       167.999996228,       -43217.6636017
       167.999996322,       -43217.5774377
       167.999996435,       -43217.4740404
       167.999996571,       -43217.3499657
       167.999996734,       -43217.2010748
        167.99999693,       -43217.0224042
       167.999997164,        -43216.808001
       167.999997446,       -43216.5507173
       167.999997784,       -43216.2419772
        167.99999819,       -43215.8714885
       167.999998677,       -43215.4269025
       167.999999261,       -43214.8933999
       167.999999962,       -43214.2531968
       168.000000803,       -43213.4849544
       168.000001813,       -43212.5630645
       168.000003024,       -43211.4567978
       168.000004478,       -43210.1292802
       168.000006223,       -43208.5362623
       168.000008316,       -43206.6246453
       168.000010828,       -43204.3307116
       168.000013842,       -43201.5780006
        168.00001746,       -43198.2747611
       168.000021801,       -43194.3108935
        168.00002701,       -43189.5542809
        168.00003326,       -43183.8463867
       168.000040761,       -43176.9969728
       168.000049762,       -43168.7777613
       168.000060564,       -43158.9148306
       168.000073525,       -43147.0794909
       168.000089079,        -43132.877339
       168.000107744,       -43115.8351258
       168.000130142,       -43095.3850031
       168.000157019,       -43070.8456259
       168.000189271,       -43041.3994867
       168.000227974,       -43006.0657304
       168.000274418,        -42963.667556
       168.000330151,       -42912.7931292
        168.00039703,       -42851.7487282
       168.000477284,       -42778.5025889
        168.00057359,       -42690.6176277
       168.000689157,        -42585.170872
       168.000827837,       -42458.6570222
       168.000994253,       -42306.8731056
       168.001193953,        -42124.780648
       168.001433592,       -41906.3411969
        168.00172116,       -41644.3204103
        168.00206624,       -41330.0553128
       168.002480337,       -40953.1788525
       168.002977254,       -40501.2957797
       168.003573553,       -39959.6045823
       168.004289113,       -39310.4626463
       168.005147784,       -38532.8977395
        168.00617819,       -37602.0818809
       168.007414677,        -36488.810677
       168.008898461,       -35159.0863285
       168.010679002,       -33574.0132926
       168.012815651,       -31690.4342035
        168.01537963,       -29463.1499166
       168.018456405,       -26850.3019029
       168.022148535,       -23824.5811974
       168.026579091,       -20393.8323611
       168.031895757,       -16633.0454199
       168.038275758,       -12720.4615107
       168.045931758,       -8949.91071266
       168.055118959,       -5675.79207555
       168.066143599,       -3181.23199659
       168.079373168,       -1548.73082062
        168.09524865,       -644.679722616
       168.114299229,        -225.76943572
       168.137159924,        -65.290654841
       168.164592758,       -15.2608733029
       168.197512158,       -2.81681912311
       168.237015439,      -0.401125433152
       168.284419375,     -0.0431233307264
       168.341304099,    -0.00343380978909
       168.409565768,   -0.000199327181455
       168.491479771,   -8.32846414018e-06
       168.589776573,   -2.48035871536e-07
       168.707732737,   -5.22703179751e-09
       168.849280133,   -7.78604537464e-11
       169.019137009,                   -0
       169.222965259,                   -0
        169.46755916,                   -0
       169.761071841,                   -0
       170.113287058,                   -0
       170.535945319,                   -0
       171.043135231,                   -0
       171.651763126,                   -0
         172.3821166,                   -0
       173.258540769,                   -0
       174.310249772,                   -0
       175.572300575,                   -0
       177.086761539,                   -0
       178.904114695,                   -0
       181.084938483,                   -0
       183.701927029,                   -0
       186.842313284,                   -0
       190.610776789,                   -0
       195.132932996,                   -0
       200.559520444,                   -0
       207.071425381,                   -0
       214.885711307,                   -0
       224.262854417,                   -0
       235.515426149,                   -0
       249.018512228,                   -0
       265.222215522,                   -0
       284.666659475,                   -0
       307.999992219,   -7.58269049907e-15
       335.999991512,   -1.64002154593e-14

