------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
                   0,      -0.313125592252
       33.5999991597,      -0.312353203083
       60.4799984875,      -0.309944738243
       81.9839979498,      -0.305342817298
       99.1871975196,      -0.298019046262
       112.949757175,      -0.287836817791
         123.9598049,      -0.275135609904
        132.76784308,      -0.260623665089
       139.814273624,      -0.245177827002
       145.451418059,       -0.22965040466
       149.961133607,       -0.21474043234
       153.568906045,      -0.200939595412
       156.455123996,      -0.188535084013
       158.764098356,      -0.177644152119
       160.611277845,      -0.168259551879
       162.089021436,      -0.160292943035
       163.271216308,      -0.153610294986
       164.216972206,      -0.148057821797
       164.973576925,      -0.143479345184
         165.5788607,      -0.139726874078
       166.063087719,      -0.136666275005
       166.450469335,      -0.134179542571
       166.760374628,      -0.132160012637
       167.008298862,      -0.130340257961
       167.206638249,      -0.124581821805
       167.365309759,     -0.0551529679989
       167.492246967,      -0.658292363058
       167.593796734,       -5.81182231478
       167.675036547,        -32.404016417
       167.740028397,        -133.33456026
       167.792021877,        -422.92376285
       167.833616662,       -1064.75825601
       167.866892489,       -2184.32956949
       167.893513151,       -3758.57894233
       167.914809681,       -5607.41662694
       167.931846904,        -7504.6382797
       167.945476683,       -9285.86751585
       167.956380506,       -10875.0451929
       167.965103565,       -12257.7757492
       167.972082012,       -13448.7710354
       167.977664769,       -14471.3789446
       167.982130975,       -15348.3528994
        167.98570394,       -16099.0609995
       167.988562311,       -16739.5159064
       167.990849009,       -17283.2454721
       167.992678367,       -17742.1292259
       167.994141853,       -18126.9332757
       167.995312642,       -18447.5556709
       167.996249274,       -18713.0854506
       167.996998579,       -18931.7782319
       167.997598023,        -19111.018597
       167.998077578,       -19257.3050822
       167.998461222,       -19376.2686736
       167.998768137,       -19472.7216958
        167.99901367,       -19550.7281839
       167.999210095,       -19613.6859931
       167.999367236,       -19664.4124353
       167.999492949,       -19705.2275197
       167.999593519,       -19738.0310756
       167.999673975,       -19764.3717924
       167.999738339,       -19785.5074798
       167.999789831,       -19802.4566682
       167.999831025,       -19816.0421543
        167.99986398,        -19826.927335
       167.999890343,       -19835.6462597
       167.999911434,       -19842.6283161
       167.999928307,       -19848.2183967
       167.999941806,       -19852.6933044
       167.999952604,       -19856.2750526
       167.999961243,       -19859.1416184
       167.999968154,       -19861.4356187
       167.999973683,       -19863.2712977
       167.999978106,       -19864.7401476
       167.999981645,       -19865.9154238
       167.999984476,       -19866.8557703
        167.99998674,       -19867.6081281
       167.999988552,       -19868.2100659
       167.999990001,       -19868.6916491
       167.999991161,       -19869.0769365
       167.999992088,       -19869.3851801
        167.99999283,       -19869.6317837
       167.999993424,       -19869.8290723
       167.999993899,       -19869.9869061
       167.999994279,       -19870.1131758
       167.999994583,       -19870.2141933
       167.999994826,       -19870.2950087
       167.999995021,       -19870.3596595
       167.999995176,       -19870.4113819
       167.999995301,       -19870.4527604
         167.9999954,       -19870.4858636
        167.99999548,       -19870.5123453
       167.999995544,       -19870.5335327
       167.999995636,       -19870.5640347
       167.999995715,       -19870.5905038
       167.999996162,       -19870.2976958
       167.999996649,       -19869.9369518
       167.999997233,       -19869.5040641
       167.999997934,       -19868.9846052
       167.999998775,       -19868.3612633
       167.999999785,       -19867.6132661
       168.000000996,       -19866.7156883
        168.00000245,       -19865.6386219
       168.000004194,       -19864.3461814
       168.000006288,       -19862.7953087
         168.0000088,       -19860.9343422
       168.000011814,       -19858.7012988
       168.000015431,       -19856.0218144
       168.000019772,       -19852.8066742
       168.000024981,       -19848.9488536
       168.000031232,       -19844.3199695
       168.000038733,       -19838.7660295
       168.000047734,         -19832.10234
       168.000058535,       -19824.1074087
       168.000071497,       -19814.5156461
       168.000087051,        -19803.008636
       168.000105716,       -19789.2046976
       168.000128113,       -19772.6464185
        168.00015499,       -19752.7857752
       168.000187243,       -19728.9663971
       168.000225946,       -19700.4024544
        168.00027239,       -19666.1535726
       168.000328122,       -19625.0950888
       168.000395001,        -19575.882882
       168.000475256,       -19516.9119279
       168.000571562,       -19446.2676665
       168.000687129,       -19361.6692512
       168.000825809,       -19260.4037938
       168.000992225,       -19139.2508929
       168.001191925,       -18994.3971034
       168.001431564,       -18821.3407084
       168.001719131,       -18614.7883673
       168.002064212,       -18368.5472427
       168.002478309,       -18075.4194808
       168.002975225,       -17727.1111013
       168.003571525,       -17314.1753895
       168.004287084,       -16826.0230972
       168.005145756,       -16251.0498548
       168.006176162,       -15576.9570065
       168.007412648,       -14791.3767183
       168.008896433,       -13882.9537264
       168.010676974,       -12843.0743066
       168.012813623,       -11668.4396091
       168.015377602,       -10364.5939484
       168.018454377,       -8950.23235315
       168.022146507,       -7461.49530755
       168.026577063,        -5954.4793687
        168.03189373,       -4503.19694164
        168.03827373,       -3190.23529701
        168.04592973,       -2089.80561309
       168.055116931,       -1247.90180636
       168.066141572,        -668.83135656
       168.079371141,       -316.345421239
       168.095246623,       -129.594795911
       168.114297202,       -45.0345854723
       168.137157898,       -12.9697801043
       168.164590732,       -3.01215380576
