------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Net Charge Concentration (C/cm3)
                   0,   -2.07136604235e-18
       33.5999991597,   -4.86093494951e-13
       60.4799984875,   -1.39050614117e-12
       81.9839979498,   -3.08266437756e-12
       99.1871975196,   -5.80981944805e-12
       112.949757175,   -9.64293597663e-12
         123.9598049,   -1.44544893714e-11
        132.76784308,   -1.99660953801e-11
       139.814273624,   -2.58325493653e-11
       145.451418059,   -3.17209809208e-11
       149.961133607,   -3.73618590012e-11
       153.568906045,   -4.25688776007e-11
       156.455123996,    -4.7236084275e-11
       158.764098356,   -5.13230131936e-11
       160.611277845,   -5.48362494175e-11
       162.089021436,   -5.78123521807e-11
       163.271216308,   -6.03042622098e-11
       164.216972206,   -6.23715429534e-11
       164.973576925,   -6.40739845806e-11
         165.5788607,   -6.54677917261e-11
       166.063087719,   -6.66036591905e-11
       166.450469335,   -6.75311760418e-11
       166.760374628,   -6.86361251668e-11
       167.008298862,   -8.47356314964e-11
       167.206638249,   -5.21926822335e-10
       167.365309759,    -8.6211542306e-09
       167.492246967,   -1.08820804895e-07
       167.593796734,   -9.51597960895e-07
       167.675036547,   -5.88809781886e-06
       167.740028397,   -2.65619424126e-05
       167.792021877,   -8.98198400102e-05
       167.833616662,   -0.000232610354494
       167.866892489,   -0.000470420567446
       167.893513151,   -0.000765259972317
       167.914809681,    -0.00104875754253
       167.931846904,    -0.00127810525909
       167.945476683,    -0.00145264844906
       167.956380506,      -0.001592757461
       167.965103565,    -0.00171947114418
       167.972082012,    -0.00184670506902
       167.977664769,    -0.00198076600021
       167.982130975,    -0.00212221473489
        167.98570394,    -0.00226808222749
       167.988562311,    -0.00241380949609
       167.990849009,    -0.00255469594899
       167.992678367,    -0.00268680316431
       167.994141853,     -0.0028073717462
       167.995312642,    -0.00291487676235
       167.996249274,    -0.00300886487331
       167.996998579,    -0.00308969559288
       167.997598023,    -0.00315827129659
       167.998077578,    -0.00321580294565
       167.998461222,    -0.00326362988559
       167.998768137,    -0.00330309434582
        167.99901367,    -0.00333546248462
       167.999210095,    -0.00336188098128
       167.999367236,    -0.00338335860499
       167.999492949,    -0.00340076403128
       167.999593519,    -0.00341483334625
       167.999673975,    -0.00342618264426
       167.999738339,     -0.0034353226949
       167.999789831,      -0.003442673812
       167.999831025,    -0.00344857986161
        167.99986398,    -0.00345332087681
       167.999890343,    -0.00345712408025
       167.999911434,    -0.00346017331344
       167.999928307,    -0.00346261697935
       167.999941806,    -0.00346457465617
       167.999952604,    -0.00346614255654
       167.999961243,    -0.00346739800392
       167.999968154,    -0.00346840308389
       167.999973683,    -0.00346920761034
       167.999978106,    -0.00346985152768
       167.999981645,    -0.00347036685119
       167.999984476,    -0.00347077923143
        167.99998674,    -0.00347110921335
       167.999988552,    -0.00347137324866
       167.999990001,    -0.00347158450875
       167.999991161,    -0.00347175353723
       167.999992088,    -0.00347188877305
        167.99999283,    -0.00347199697007
       167.999993424,    -0.00347208353303
       167.999993899,    -0.00347215278682
       167.999994279,    -0.00347220819204
       167.999994583,    -0.00347225251762
       167.999994826,    -0.00347228797898
       167.999995021,    -0.00347231634865
       167.999995176,    -0.00347233904475
       167.999995301,    -0.00347235720185
         167.9999954,     -0.0034723717277
        167.99999548,    -0.00347238334847
       167.999995595,    -0.00347240008253
       167.999995694,    -0.00347241460039
       167.999995756,     0.00774157672932
       167.999996162,     0.00774151755717
       167.999996649,     0.00774144654936
       167.999997233,     0.00774136133823
       167.999997934,     0.00774125908236
       167.999998775,     0.00774113637166
       167.999999785,     0.00774098911358
       168.000000996,     0.00774081239634
        168.00000245,     0.00774060032478
       168.000004194,     0.00774034582326
       168.000006288,      0.0077400403989
         168.0000088,     0.00773967385722
       168.000011814,     0.00773923396047
       168.000015431,     0.00773870601712
       168.000019772,     0.00773807238825
       168.000024981,     0.00773731189417
       168.000031232,     0.00773639910055
       168.000038733,     0.00773530345925
       168.000047734,     0.00773398827374
       168.000058535,     0.00773240945244
       168.000071497,     0.00773051400523
       168.000087051,     0.00772823822861
       168.000105716,     0.00772550551249
       168.000128113,     0.00772222368636
        168.00015499,       0.007718281803
       168.000187243,     0.00771354623376
       168.000225946,     0.00770785591801
        168.00027239,        0.00770101657
       168.000328122,       0.007692793595
       168.000395001,      0.0076829034008
       168.000475256,     0.00767100270488
       168.000571562,     0.00765667532598
       168.000687129,     0.00763941580339
       168.000825809,     0.00761860899816
       168.000992225,     0.00759350458558
       168.001191925,     0.00756318503541
       168.001431564,     0.00752652528521
       168.001719131,     0.00748214184154
       168.002064212,     0.00742832851737
       168.002478309,     0.00736297551142
       168.002975225,     0.00728346825285
       168.003571525,      0.0071865628017
       168.004287084,     0.00706823648635
       168.005145756,     0.00692351754958
       168.006176162,     0.00674630890942
       168.007412648,     0.00652924385161
       168.008896433,     0.00626365326007
       168.010676974,      0.0059397939447
       168.012813623,     0.00554758962673
       168.015377602,     0.00507824951995
       168.018454377,     0.00452716829576
       168.022146507,     0.00389827101509
       168.026577063,     0.00320913554512
        168.03189373,     0.00249466071034
        168.03827373,     0.00180548191565
        168.04592973,     0.00119790906307
       168.055116931,    0.000716923490562
       168.066141572,    0.000380611781342
       168.079371141,    0.000176122071157
       168.095246623,    6.96806325287e-05
       168.114297202,    2.30684025085e-05
       168.137157898,    6.23990279162e-06
       168.164590732,     1.3447669699e-06
       168.197510132,    2.25187370806e-07
       168.237013413,    2.86231221724e-08
       168.284417351,    2.70423533292e-09
       168.341302075,    1.85095249398e-10
       168.409563745,    7.36238964498e-12
       168.491477748,   -1.62306669221e-12
       168.589774552,   -1.93442238411e-12
       168.707730717,   -1.92799738326e-12
       168.849278115,   -1.91071239856e-12
       169.019134993,   -1.89000325748e-12
       169.222963246,   -1.86544363523e-12
        169.46755715,   -1.83639027851e-12
       169.761069834,    -1.8021215987e-12
       170.113285055,   -1.76183465902e-12
       170.535943321,   -1.71467379696e-12
       171.043133239,   -1.65973665018e-12
       171.651761142,   -1.59611784339e-12
       172.382114625,   -1.52297225925e-12
       173.258538804,    -1.4395888543e-12
        174.31024782,   -1.34550665543e-12
       175.572298638,   -1.24065787249e-12
        177.08675962,   -1.12553059463e-12
       178.904112799,   -1.00134655121e-12
       181.084936613,   -8.70229833953e-13
        183.70192519,    -7.3530029673e-13
       186.842311483,   -6.00661503977e-13
       190.610775034,   -4.71191334418e-13
       195.132931295,   -3.52097578895e-13
       200.559518809,   -2.48226480723e-13
       207.071423825,   -1.63219124793e-13
       214.885709844,   -9.87552006592e-14
       224.262853068,   -5.41161326105e-14
       235.515424936,   -2.63673598831e-14
       249.018511178,   -1.11853766287e-14
       265.222214668,   -4.03577427452e-15
       284.666658856,   -1.20515842464e-15
       307.999991881,   -2.80199333729e-16
       335.999991512,     2.2596720462e-17

