------------------------------------------------------------
 V0
------------------------------------------------------------
V0 (V), I1 (A)
                   0,           1.8385e-21
                 0.1,          3.83128e-14
                 0.2,          3.45371e-13
                 0.3,          3.90248e-12
                 0.4,          8.73856e-11
                 0.5,          3.35454e-09
                 0.6,          1.27717e-07
                 0.7,          1.24112e-06
                 0.8,          3.43993e-06
                 0.9,          6.33204e-06
                   1,          9.87186e-06

