------------------------------------------------------------
 V0
------------------------------------------------------------
V0 (V), I1 (A)
                -1.8,         -7.13306e-14
                -1.7,         -6.63683e-14
                -1.6,         -6.34815e-14
                -1.5,         -6.20323e-14
                -1.4,         -6.07135e-14
                -1.3,         -5.80917e-14
                -1.2,         -5.34047e-14
                -1.1,         -4.92314e-14
                  -1,         -4.68705e-14
                -0.9,         -4.44735e-14
                -0.8,          -4.0147e-14
                -0.7,         -3.58811e-14
                -0.6,         -3.27514e-14
                -0.5,          -2.8329e-14
                -0.4,         -2.39287e-14
                -0.3,         -1.93321e-14
                -0.2,         -1.42507e-14
                -0.1,         -8.56821e-15
                   0,           1.8385e-21

