------------------------------------------------------------
 solve prev v1=0.6 elect=1
------------------------------------------------------------
Position (um), Valence Band Potential (eV)
                   0,      -0.796875821309
       33.5999991597,      -0.795823719345
       60.4799984875,      -0.794985819668
       81.9839979498,      -0.794322423692
       99.1871975196,      -0.793801530624
       112.949757175,      -0.793396665453
         123.9598049,      -0.793085360212
        132.76784308,      -0.792848391158
       139.814273624,      -0.792669490782
       145.451418059,      -0.792535209755
       149.961133607,      -0.792434731591
       153.568906045,      -0.792359585519
       156.455123996,      -0.792303287062
       158.764098356,      -0.792260960005
       160.611277845,      -0.792228984011
       162.089021436,      -0.792204692643
       163.271216308,       -0.79218612957
       164.216972206,      -0.792171859925
       164.973576925,      -0.792160828673
         165.5788607,      -0.792152256445
       166.063087719,      -0.792145563956
       166.450469335,      -0.792140317589
       166.760374628,      -0.792136190333
       167.008298862,      -0.792132933956
       167.206638249,      -0.792130364748
       167.365309759,      -0.792128450876
       167.492246967,       -0.79212841558
       167.593796734,      -0.792140471068
       167.675036547,        -0.7922177428
       167.740028397,      -0.792547368349
       167.792021877,      -0.793584263009
       167.833616662,       -0.79608710651
       167.866892489,      -0.800862814825
       167.893513151,      -0.808273055329
       167.914809681,      -0.817938545159
       167.931846904,       -0.82894889767
       167.945476683,      -0.840313852966
       167.956380506,      -0.851265543837
       167.965103565,      -0.861331919661
       167.972082012,      -0.870286681613
       167.977664769,       -0.87807025475
       167.982130975,      -0.884722556527
        167.98570394,      -0.890336125725
       167.988562311,      -0.895026519824
       167.990849009,      -0.898914745097
       167.992678367,      -0.902117384601
       167.994141853,      -0.904741460882
       167.995312642,      -0.906882158902
       167.996249274,      -0.908622252535
       167.996998579,      -0.910032518206
       167.997598023,      -0.911172685588
       167.998077578,       -0.91209264041
       167.998461222,      -0.912833700833
       167.998768137,      -0.913429859484
        167.99901367,      -0.913908930625
       167.999210095,      -0.914293573285
       167.999367236,      -0.914602181316
       167.999492949,      -0.914849643493
       167.999593519,      -0.915047983613
       167.999673975,      -0.915206893731
       167.999738339,      -0.915334174665
       167.999789831,      -0.915436097492
       167.999831025,      -0.915517698658
        167.99986398,       -0.91558301992
       167.999890343,      -0.915635302774
       167.999911434,      -0.915677145617
       167.999928307,      -0.915710630498
       167.999941806,      -0.915737425197
       167.999952604,      -0.915758865306
       167.999961243,      -0.915776020179
       167.999968154,      -0.915789745861
       167.999973683,      -0.915800727548
       167.999978106,      -0.915809513628
       167.999981645,       -0.91581654296
       167.999984476,      -0.915822166725
        167.99998674,      -0.915826665929
       167.999988552,      -0.915830265415
       167.999990001,      -0.915833145082
       167.999991161,      -0.915835448866
       167.999992088,      -0.915837291925
        167.99999283,      -0.915838766393
       167.999993424,      -0.915839945981
       167.999993899,      -0.915840889659
       167.999994279,      -0.915841644608
       167.999994583,       -0.91584224857
       167.999994826,      -0.915842731742
       167.999995021,       -0.91584311828
       167.999995176,      -0.915843427513
       167.999995301,      -0.915843674899
         167.9999954,      -0.915843872808
       167.999995544,      -0.915844157798
       167.999995636,      -0.915844340192
       167.999995732,      -0.915844531633
       167.999996162,      -0.915845385609
       167.999996649,      -0.915846352987
       167.999997233,      -0.915847513818
       167.999997934,      -0.915848906781
       167.999998775,      -0.915850578289
       167.999999785,       -0.91585258403
       168.000000996,      -0.915854990819
        168.00000245,      -0.915857878822
       168.000004194,       -0.91586134422
       168.000006288,      -0.915865502399
         168.0000088,      -0.915870491785
       168.000011814,      -0.915876478432
       168.000015431,       -0.91588366152
       168.000019772,      -0.915892279946
       168.000024981,      -0.915902620214
       168.000031232,      -0.915915025884
       168.000038733,      -0.915929908869
       168.000047734,      -0.915947762952
       168.000058535,      -0.915969179935
       168.000071497,      -0.915994868917
       168.000087051,      -0.916025679287
       168.000105716,      -0.916062628109
       168.000128113,      -0.916106932691
        168.00015499,      -0.916160049246
       168.000187243,      -0.916223718669
       168.000225946,      -0.916300020601
        168.00027239,      -0.916391437045
       168.000328122,      -0.916500926905
       168.000395001,      -0.916632012845
       168.000475256,      -0.916788881806
       168.000571562,      -0.916976500326
       168.000687129,      -0.917200745335
       168.000825809,      -0.917468550269
       168.000992225,      -0.917788064972
       168.001191925,      -0.918168825649
       168.001431564,      -0.918621927705
       168.001719131,      -0.919160189281
       168.002064212,      -0.919798285862
       168.002478309,      -0.920552825793
       168.002975225,      -0.921442321908
       168.003571525,       -0.92248699469
       168.004287084,      -0.923708316892
       168.005145756,      -0.925128178401
       168.006176162,       -0.92676751615
       168.007412648,      -0.928644224254
       168.008896433,      -0.930770150984
       168.010676974,      -0.933147033603
       168.012813623,      -0.935761374501
       168.015377602,      -0.938578603318
       168.018454377,      -0.941537488762
       168.022146507,      -0.944546686176
       168.026577063,      -0.947486327667
        168.03189373,      -0.950218000416
        168.03827373,      -0.952605079303
        168.04592973,      -0.954541063176
       168.055116931,      -0.955977128347
       168.066141572,      -0.956935881698
       168.079371141,      -0.957501913981
       168.095246623,      -0.957791697468
       168.114297202,      -0.957917557549
       168.137157898,      -0.957962813855
       168.164590732,      -0.957975920296
       168.197510132,      -0.957978861847
       168.237013413,      -0.957979308517
       168.284417351,      -0.957979280189
       168.341302075,      -0.957979169418
       168.409563745,      -0.957979028926
       168.491477748,      -0.957978859902
       168.589774552,      -0.957978657211
       168.707730717,      -0.957978414219
       168.849278115,      -0.957978122966
       169.019134993,      -0.957977773947
       169.222963246,      -0.957977355812
        169.46755715,       -0.95797685503
       169.761069834,       -0.95797625548
       170.113285055,      -0.957975537981
       170.535943321,      -0.957974679743
       171.043133239,      -0.957973653729
       171.651761142,      -0.957972427905
       172.382114625,      -0.957970964387
       173.258538804,      -0.957969218429
        174.31024782,       -0.95796713725
       175.572298638,      -0.957964658638
        177.08675962,      -0.957961709271
       178.904112799,      -0.957958202646
       181.084936613,      -0.957954036481
        183.70192519,      -0.957949089373
       186.842311483,      -0.957943216468
       190.610775034,      -0.957936243824
       195.132931295,      -0.957927961194
       200.559518809,      -0.957918113011
       207.071423825,      -0.957906387544
       214.885709844,      -0.957892404431
       224.262853068,      -0.957875700884
       235.515424936,      -0.957855716747
       249.018511178,      -0.957831777965
       265.222214668,      -0.957803077193
       284.666658856,      -0.957768649653
       307.999991881,      -0.957727342361
       335.999991512,      -0.957677775539

